SBS,JS,r_pearson,RMSD,p_rand,FDR,FDR_BH
SBS87,0.066900233444876,0.644296933527818,0.0647982150209432,0.008645,0.74347,0.74347
SBS39,0.107926188981047,0.355998983993322,0.0719988117750859,0.052894,1,1
SBS4,0.116776489347636,0.189025743908446,0.0783145032544132,0.069665,1,1
SBS37,0.130662542906501,0.268555831462798,0.0789944157359075,0.101369,1,1
SBS89,0.133884684866179,0.36307427724434,0.080927610104313,0.109699,1,1
SBS98,0.133901545087508,0.525807659122664,0.0977337784143289,0.109739,1,1
SBS92,0.141959423204336,-0.00890109375844949,0.0881488476530316,0.132208,1,1
SBS38,0.154226761297931,0.38298381097654,0.0971260455696514,0.170271,1,1
SBS97,0.154855578618984,0.227396677842337,0.0889102649144267,0.172261,1,1
SBS5,0.155381325142385,0.0630992637816917,0.087063620729273,0.174021,1,1
SBS12,0.164854232264471,0.314269164810262,0.0908861029748824,0.20682,1,1
SBS22b,0.16582091479387,0.100485503910529,0.0906341478290064,0.210343,1,1
SBS3,0.168806063425933,0.242067635627671,0.0880988319011153,0.221247,1,1
SBS19,0.174041505417275,0.0359489758318447,0.0962797274948718,0.240763,1,1
SBS6,0.176459375932956,0.223839565023806,0.101095155594929,0.250095,1,1
SBS26,0.1835045342752,-0.119255371220278,0.0958681173656359,0.277726,1,1
SBS24,0.184331309633342,-0.226302551104924,0.102611654851199,0.281006,1,1
SBS32,0.190523262313556,0.283518422532658,0.0931687211962668,0.30578,1,1
SBS30,0.192164664854663,0.247883819409774,0.0946463197686548,0.312471,1,1
SBS40a,0.194129062609769,0.189198203872952,0.0964132419070795,0.3205,1,1
SBS93,0.196540407467978,0.134857789367201,0.0996856295383077,0.330469,1,1
SBS94,0.205124564230108,-0.134679192259997,0.103360406820122,0.366662,1,1
SBS29,0.206436316993141,-0.285842739324942,0.107152317435273,0.372224,1,1
SBS96,0.214904061558253,0.0591671903374717,0.105222501698791,0.407776,1,1
SBS40c,0.217233309486617,-0.46558628355,0.111408736197144,0.417743,1,1
SBS31,0.221058264327195,0.0758773180536599,0.111926391592978,0.433686,1,1
SBS53,0.227729925276258,0.601737693670117,0.144400939720415,0.461685,1,1
SBS46,0.227927491812366,-0.288203217996744,0.113582638369746,0.462505,1,1
SBS8,0.228486872604601,-0.0586202344215326,0.103560887323957,0.464801,1,1
SBS7c,0.230373429495465,0.250520846915698,0.14294660345793,0.472704,1,1
SBS22a,0.232294294904947,0.443101684077772,0.110904866807269,0.480689,1,1
SBS16,0.233597033726573,0.00317063437920332,0.105119402108574,0.486055,1,1
SBS7b,0.236949288119065,0.103425346810961,0.12043113384516,0.499949,1,1
SBS25,0.242409828189224,-0.159357225470972,0.108461827267286,0.522567,1,1
SBS90,0.247281790221226,-0.0124303660503939,0.11222879977786,0.5421,1,1
SBS55,0.247964173961637,0.462522811540025,0.112531135725381,0.544709,1,1
SBS54,0.25044790457532,0.0474329764128409,0.12127188992016,0.554643,1,1
SBS95,0.251506508914103,-0.444814030320328,0.117795343552256,0.558745,1,1
SBS40b,0.264526411266089,-0.0878504170818834,0.126841297493811,0.609207,1,1
SBS45,0.279657711262433,0.0717209491084345,0.125745376771077,0.664356,1,1
SBS1,0.280694046341174,0.0760187126106867,0.124690181976292,0.667842,1,1
SBS60,0.281809588540549,0.478176880416669,0.144626586055691,0.6718,1,1
SBS58,0.2864398716613,0.546530368801642,0.165222832742783,0.687607,1,1
SBS57,0.287836327583654,0.021310064050757,0.130390317084524,0.692116,1,1
SBS27,0.287997700825354,-0.419987371409436,0.122017040397408,0.692688,1,1
SBS35,0.288037936648474,-0.103073793873225,0.129096926198451,0.692825,1,1
SBS85,0.288868088363881,0.309623460856268,0.121739873306496,0.695524,1,1
SBS11,0.291406263035034,0.0729926316850098,0.13722695862936,0.70379,1,1
SBS41,0.299157933941573,-0.384945867966408,0.122720690614489,0.728373,1,1
SBS34,0.301227934483641,0.146791436439622,0.122050975808635,0.734837,1,1
SBS18,0.307931281186659,-0.398339568200556,0.130470871677774,0.754395,1,1
SBS47,0.314044491053708,0.459050143337166,0.127737727795326,0.771837,1,1
SBS51,0.316435756061871,0.482719446084227,0.160651872236549,0.778418,1,1
SBS20,0.319184588252667,-0.0579421644031375,0.141565668821951,0.785685,1,1
SBS86,0.321861543599949,-0.59354682117657,0.132247487793508,0.792703,1,1
SBS33,0.327909833474613,-0.427114624201378,0.144107452441282,0.808017,1,1
SBS50,0.332673501698186,0.304569228130389,0.130877861134851,0.81958,1,1
SBS43,0.336191149285639,0.438400787220086,0.139946042930766,0.827627,1,1
SBS23,0.354856576470775,-0.114953869423954,0.161823930513376,0.86641,1,1
SBS49,0.357097815088153,0.42414216474525,0.209119931744064,0.87056,1,1
SBS7a,0.357821385123019,-0.145253839501303,0.149291045648733,0.871901,1,1
SBS17a,0.361012016083124,0.295032076912183,0.144130718343622,0.877658,1,1
SBS42,0.370550463400986,-0.0715157623239402,0.158021357148377,0.893578,1,1
SBS10b,0.391208097047886,-0.0437530299712651,0.158928144214191,0.922607,1,1
SBS36,0.395194663715334,-0.513484763165198,0.152377585144247,0.927394,1,1
SBS17b,0.401661580044004,-0.188360696764858,0.147066889539937,0.934672,1,1
SBS21,0.408887773642705,-0.324011486109131,0.177560896309181,0.942125,1,1
SBS10c,0.416090073573709,-0.470537721936868,0.178609749885974,0.948862,1,1
SBS84,0.428132404475594,-0.371502234138594,0.153298939200121,0.958765,1,1
SBS9,0.43980588980729,-0.607670321169672,0.166700875462579,0.966654,1,1
SBS2,0.451016405776722,-0.466618640213486,0.18129908093779,0.973022,1,1
SBS44,0.513344802641852,-0.296098454073813,0.183475086802039,0.992963,1,1
SBS28,0.561106485158585,-0.391465945629357,0.224580137724865,0.997867,1,1
SBS7d,0.564070260520543,-0.340137427244636,0.195352934229,0.998043,1,1
