SBS,JS,r_pearson,RMSD,p_rand,FDR,FDR_BH
SBS49,0.0576399262866587,0.739791224111175,0.0532452927873369,0.00464,0.385667958790241,0.39904
SBS53,0.0937027378131246,0.505262818599476,0.0694311114526867,0.031571,1,0.527925333333333
SBS60,0.0983332435253875,0.35383212390854,0.0768105544054523,0.037769,1,0.527925333333333
SBS7a,0.0992777051295357,0.484079747208085,0.0740199239224153,0.039121,0.812915744387554,0.527925333333333
SBS51,0.100562467895685,0.320727743257958,0.0735778574889936,0.041122,0.683596456955702,0.527925333333333
SBS31,0.104903296788287,0.539787623613126,0.0741229721544336,0.047871,0.66315771750171,0.527925333333333
SBS91,0.106146212368401,0.457517638778357,0.075732283099058,0.049904,0.59256077018067,0.527925333333333
SBS32,0.107663032057241,0.426022781001361,0.0752074972153387,0.052443,0.544870279171244,0.527925333333333
SBS18,0.109216065171331,0.256601504600764,0.0818305626440311,0.055248,0.510234276514445,0.527925333333333
SBS4,0.120939477383389,0.280604492463996,0.0768087591715617,0.078464,0.652177817209428,0.6747904
SBS40c,0.137109932568989,0.112730289507698,0.0843569361174778,0.118206,0.893187044215502,0.880726
SBS57,0.142289338558109,0.519219894037922,0.094768898232743,0.133167,0.922382274932112,0.880726
SBS96,0.147390251589932,0.389783957118696,0.0956531491968772,0.148512,0.949541112331834,0.880726
SBS29,0.151248994014555,0.160964331717974,0.098041780342277,0.160571,0.953311111621117,0.880726
SBS38,0.152131390157466,-0.00463136058277318,0.0890030114656947,0.163422,0.905555016687051,0.880726
SBS52,0.153531005184646,-0.158995916679553,0.0899787876262708,0.167935,0.872402325692875,0.880726
SBS39,0.15770840721683,-0.0163238582879353,0.089441742796997,0.181929,0.889505401556158,0.880726
SBS30,0.158431621684313,0.27620034385582,0.0904645744932466,0.184338,0.851212406459236,0.880726
SBS59,0.166246954180463,0.11538304773548,0.0965039123422425,0.211901,0.926989860884878,0.906422083333333
SBS97,0.16966982488154,0.00261823856792856,0.0950640538261918,0.224411,0.932630735992206,0.906422083333333
SBS89,0.17319827380266,-0.0574075446698084,0.100957937083316,0.237488,0.939978573452142,0.906422083333333
SBS10c,0.174703272092605,0.062464891003803,0.0956828348894107,0.243235,0.918964987816852,0.906422083333333
SBS95,0.175378419303842,-0.0917553701039432,0.098024903342473,0.245865,0.888514361768764,0.906422083333333
SBS5,0.177200926215676,-0.0586458940163916,0.0943850389598486,0.252955,0.876047400465026,0.906422083333333
SBS24,0.181486713844414,-0.172432638984667,0.0971269280357365,0.26989,0.897309701706018,0.9284216
SBS45,0.186054501219889,0.157432923081328,0.0995445365865944,0.287918,0.920430598134686,0.952344153846154
SBS19,0.19126022266124,0.207434655203732,0.0938129621077197,0.308726,0.950396920861078,0.969878344827586
SBS94,0.194338798010259,-0.058721781665921,0.0977238449585549,0.32135,0.953928560323614,0.969878344827586
SBS87,0.195697312927572,0.472505215341365,0.125460263782562,0.327052,0.937377209113153,0.969878344827586
SBS40a,0.199713904857355,-0.022969551652142,0.101138240299704,0.343688,0.952223056183191,0.976115636363636
SBS22b,0.203659986413859,-0.0579826469896495,0.103838975518277,0.360518,0.966631265066324,0.976115636363636
SBS7b,0.205928969670124,0.19112172885173,0.116004575147715,0.370069,0.961232191820754,0.976115636363636
SBS1,0.206989751535642,0.517169051112476,0.108944988264022,0.374556,0.943405485714716,0.976115636363636
SBS58,0.214393784355359,0.556451838417392,0.142878481689726,0.405619,0.991596423532826,0.999974
SBS7d,0.220457777357371,-0.243466125319515,0.116937143082136,0.431226,1,0.999974
SBS12,0.221765717270061,-0.0555126816835523,0.105556170910385,0.436611,1,0.999974
SBS36,0.223528682403284,-0.224318804245631,0.115680048371636,0.444104,0.997650764041129,0.999974
SBS6,0.226061751820016,0.316378774683593,0.102207368157227,0.454784,0.994757355776207,0.999974
SBS98,0.227353444509815,0.423444474200626,0.119110198663369,0.460098,0.980576130103184,0.999974
SBS37,0.232120145871485,0.468688243085496,0.122494594214438,0.479941,0.997294535612861,0.999974
SBS47,0.232986429886988,-0.20963009665913,0.116282177664584,0.483581,0.980349543627751,0.999974
SBS56,0.241478053027857,-0.0628378986146648,0.1356234148412,0.518748,1,0.999974
SBS48,0.255326804625103,-0.138576891564238,0.14077818151077,0.573763,1,0.999974
SBS3,0.259384346129059,-0.0938523245066427,0.105143270386176,0.589428,1,0.999974
SBS86,0.259506136622429,-0.0168819847094774,0.120042635751293,0.589875,1,0.999974
SBS40b,0.261882709236362,-0.196420417269739,0.124506402239049,0.599138,1,0.999974
SBS93,0.263518974123299,-0.273369731159689,0.119821634702232,0.605367,1,0.999974
SBS9,0.268417889065818,-0.228056641620534,0.127378106224669,0.623802,1,0.999974
SBS10d,0.271349657038812,-0.242034285659604,0.129213109312173,0.634799,1,0.999974
SBS11,0.277458200277833,-0.0987198026121094,0.134485433320848,0.656681,1,0.999974
SBS16,0.2808016563065,-0.277784311056919,0.145028351721534,0.668237,1,0.999974
SBS25,0.28556280700266,-0.122935738051558,0.120340805601033,0.684715,1,0.999974
SBS2,0.299131395182013,-0.311148113307897,0.123508312722592,0.728296,1,0.999974
SBS20,0.300732757297747,0.358787935984538,0.131631611700203,0.733256,1,0.999974
SBS28,0.304766127337194,0.0075910760838769,0.114202130916881,0.745331,1,0.999974
SBS26,0.306847656640724,-0.406952651826556,0.133163930602374,0.751293,1,0.999974
SBS22a,0.307403346168721,-0.174085578933094,0.141798071465798,0.752889,1,0.999974
SBS90,0.308107464388397,-0.35516814296959,0.127261208053577,0.754891,1,0.999974
SBS8,0.311469520634839,-0.189971068897835,0.123068193003446,0.764506,1,0.999974
SBS35,0.314247887413969,-0.48090146503955,0.128284863150864,0.772461,1,0.999974
SBS85,0.320352518435251,-0.0412080128630493,0.148645888550104,0.788749,1,0.999974
SBS41,0.326547368777535,-0.312571921598173,0.14420960923347,0.80453,1,0.999974
SBS46,0.335099839378834,-0.216075806800049,0.132214659918131,0.82514,1,0.999974
SBS27,0.33528016543047,-0.382090697750847,0.132639054034299,0.825554,1,0.999974
SBS17a,0.337000870545591,-0.315355375693883,0.160721885876573,0.829377,1,0.999974
SBS55,0.338159883589833,-0.129928497869093,0.156269711363739,0.832084,1,0.999974
SBS42,0.341334296613743,-0.387482971880462,0.145175948927786,0.839032,1,0.999974
SBS92,0.350372942080987,-0.335063416430399,0.176845355750821,0.857792,1,0.999974
SBS54,0.353435559120181,-0.635209792879946,0.140551338322203,0.863714,1,0.999974
SBS7c,0.357630879178076,-0.0979025763223968,0.144891191183652,0.87155,1,0.999974
SBS34,0.361823493929217,0.0333948463770877,0.165824979001211,0.879089,1,0.999974
SBS10b,0.39366841606926,0.485730052247375,0.147115679298866,0.925572,1,0.999974
SBS15,0.395820448013384,-0.500293293433767,0.161100635967362,0.928087,1,0.999974
SBS17b,0.408967770716941,-0.216448030810424,0.155389597851758,0.942202,1,0.999974
SBS14,0.409865413931284,-0.266015313504614,0.162226445954815,0.943044,1,0.999974
SBS21,0.416931780424035,-0.324414025457533,0.145848621165552,0.949612,1,0.999974
SBS33,0.430731564274381,-0.335504612681097,0.206131754597704,0.960641,1,0.999974
SBS44,0.441914480515267,0.0386807088211958,0.150722148019688,0.967903,1,0.999974
SBS43,0.470560696645165,-0.3467720246457,0.185002389920346,0.981754,1,0.999974
SBS50,0.477286204563592,-0.339042313088477,0.198083920574962,0.984203,1,0.999974
SBS99,0.515216892893975,-0.473701283976225,0.166440963128253,0.993272,1,0.999974
SBS10a,0.518254097260738,-0.390115888333315,0.166058960861857,0.993745,1,0.999974
SBS84,0.583290536094826,-0.385599107038192,0.210003165746256,0.998918,1,0.999974
SBS23,0.625957612473759,-0.150885827449838,0.20892480577113,0.99971,0.989214170469498,0.999974
SBS88,0.63189557638584,-0.380112275092798,0.194931150716723,0.999764,0.977629161135817,0.999974
SBS13,0.682686854999616,-0.354055131650264,0.266711034605154,0.999974,0.966464342981436,0.999974
