SBS,JS,r_pearson,RMSD,p_rand,FDR,FDR_BH
SBS60,0.0507499594951961,0.790321249060684,0.0503671277946855,0.002691,0.152377927691752,0.194016
SBS17b,0.0639645947865914,0.806817016461426,0.0545004704914518,0.007198,0.203793445471057,0.194016
SBS57,0.0650349766858512,0.67159010683442,0.0581540584025458,0.00772,0.145715050387752,0.194016
SBS52,0.0675874516107806,0.642472530035334,0.0593922276784932,0.009024,0.127746044174133,0.194016
SBS25,0.0794287187560013,0.615611204962754,0.0606392557560656,0.017056,0.193159266793796,0.2328235
SBS51,0.0801412521271987,0.767693232516752,0.0726374210845644,0.017714,0.16717593280885,0.2328235
SBS94,0.0831675068306207,0.445360874383612,0.0696231255025938,0.020286,0.164099306744964,0.2328235
SBS49,0.0846523585298669,0.542373274417494,0.0758762503374327,0.021658,0.153298084259939,0.2328235
SBS31,0.0878997225818478,0.418244501746562,0.0724298466004359,0.024921,0.156794679219049,0.238134
SBS37,0.0962599287292609,0.427464606749187,0.0691097712560646,0.034946,0.197881793426829,0.3005356
SBS93,0.0991591754478993,0.352003498078435,0.073124947837326,0.038934,0.200421682941477,0.304393090909091
SBS10c,0.102567732606275,0.277907903463183,0.0765776844234919,0.044184,0.208493322096258,0.316652
SBS18,0.106202783441348,0.318963911943419,0.0726030418263024,0.049993,0.217758046453814,0.330722923076923
SBS58,0.113347513960975,0.65035704668778,0.117697608776075,0.062913,0.254460704063046,0.342770916666667
SBS92,0.114587016688617,0.249705126633189,0.0757963095367069,0.065332,0.246628385283229,0.342770916666667
SBS9,0.116137644299843,0.0986003727699644,0.0798118215675506,0.068423,0.24215335717328,0.342770916666667
SBS53,0.119566355862584,0.330764586792971,0.0776011075852982,0.075405,0.251165270675597,0.342770916666667
SBS36,0.120384945913091,0.0850062910470746,0.0828969691645791,0.077237,0.242974813186503,0.342770916666667
SBS26,0.122333832367807,0.0310996044343353,0.0809624448161195,0.08151,0.242921334001344,0.342770916666667
SBS96,0.125407804952363,0.445463305116952,0.082275250324306,0.088684,0.251086661824885,0.342770916666667
SBS6,0.126842156799555,0.41610626090589,0.0784694221348106,0.09202,0.248125442943764,0.342770916666667
SBS38,0.127428214874497,0.0614216804372428,0.0848655897587009,0.093394,0.240383503578316,0.342770916666667
SBS39,0.127439152076872,0.0523805154824589,0.0833003296783384,0.093421,0.229998519750071,0.342770916666667
SBS5,0.12835432989072,0.169526861408547,0.0775707865542965,0.095657,0.22569081241809,0.342770916666667
SBS45,0.132566905350769,0.241678611331861,0.0865268133849454,0.106268,0.240697103232213,0.354157923076923
SBS4,0.132868836895506,0.379871300624489,0.0766157795937051,0.107071,0.233188364289563,0.354157923076923
SBS46,0.134939778111666,0.107840905491017,0.0867093965196868,0.112371,0.235667039826168,0.357922444444444
SBS56,0.137571842514351,0.765842564234091,0.086179549088563,0.119506,0.241679628214823,0.367054142857143
SBS41,0.139937880430763,0.0675444791663656,0.0830523071018378,0.126276,0.246564861123332,0.374473655172414
SBS95,0.145348725636694,0.00757175188960788,0.0892921129392239,0.142216,0.268432792823117,0.392584625
SBS86,0.146292740748525,0.20631101856645,0.0909485501847104,0.145154,0.265140261039409,0.392584625
SBS20,0.146598805209291,0.274365207765753,0.0909221623868536,0.146078,0.258489675322321,0.392584625
SBS27,0.154104334804927,-0.0570353353896634,0.0935984635095124,0.169853,0.2914524076014,0.422803028571429
SBS14,0.154539487008149,0.256795702776774,0.0855923726071888,0.171237,0.285185249351351,0.422803028571429
SBS22b,0.154795289389853,-0.167124431313455,0.0939723542901598,0.172071,0.278386392693608,0.422803028571429
SBS40c,0.156772869842928,-0.112601112380554,0.0895762735220147,0.178766,0.281184118065813,0.427052111111111
SBS59,0.169412838597536,0.284764884412416,0.0875585708576647,0.223475,0.342007466237953,0.514340829268293
SBS30,0.171246607879754,0.196818226749203,0.0963198940042076,0.230224,0.343064171261964,0.514340829268293
SBS89,0.173869453719598,0.380097015362602,0.100280165989008,0.240105,0.34861411093415,0.514340829268293
SBS33,0.174522480878598,-0.136089771500716,0.104806163213811,0.242543,0.343350053104242,0.514340829268293
SBS48,0.175215112466441,0.212773068462624,0.102300300197894,0.245209,0.3386576689359,0.514340829268293
SBS28,0.18631589614452,-0.0318767428345419,0.0989448078136055,0.288904,0.389504634689334,0.584925416666667
SBS40a,0.190425764256618,-0.208795151772523,0.101299791616414,0.305375,0.402136403592239,0.584925416666667
SBS32,0.190968958136602,0.0370837273599398,0.110682475522596,0.307586,0.395842347108166,0.584925416666667
SBS29,0.191408435246406,0.223299860565216,0.0938726583543301,0.309354,0.3892705846084,0.584925416666667
SBS34,0.194793807307826,0.492396026468627,0.103212688383067,0.323183,0.397831384851304,0.584925416666667
SBS17a,0.195456111703335,0.342978458255545,0.0941010370693765,0.325989,0.392747521449011,0.584925416666667
