SBS,JS,r_pearson,RMSD,p_rand,FDR,FDR_BH
SBS31,0.0659867100893945,0.654606769105572,0.0587259299597551,0.008185,0.403097528268742,0.192154714285714
SBS27,0.0669107533184674,0.661365524122579,0.0574459700553616,0.008647,0.21292512687476,0.192154714285714
SBS35,0.0670070523494115,0.592672459182848,0.0635241376714297,0.008692,0.142688809436445,0.192154714285714
SBS29,0.0721450152547168,0.598945397730627,0.061211706422742,0.011734,0.144469957138223,0.192154714285714
SBS40c,0.0729832673751167,0.653859944462202,0.0578769088273593,0.012305,0.121200124260156,0.192154714285714
SBS57,0.0793811417672708,0.546689296418274,0.0711864302791842,0.017014,0.139651829484105,0.192154714285714
SBS97,0.083273190278729,0.525048095152424,0.064975244329019,0.02038,0.143382976282694,0.192154714285714
SBS6,0.0850563427812338,0.576752512295625,0.0667216302345894,0.02204,0.135679131384286,0.192154714285714
SBS24,0.0857161316612577,0.552142175412635,0.0636581098509006,0.022699,0.124209744032745,0.192154714285714
SBS4,0.0884647453205003,0.754469201063064,0.0552323424587025,0.025543,0.125794992847507,0.192154714285714
SBS53,0.0891040104628094,0.587493100587325,0.0632889543989488,0.026222,0.117399049106047,0.192154714285714
SBS26,0.0910540257854975,0.514073321089954,0.0654505911926561,0.028382,0.11648049325314,0.192154714285714
SBS42,0.0931281173857928,0.531258430051746,0.0664192600231532,0.030882,0.116991286762796,0.192154714285714
SBS5,0.0934681684236935,0.510199828323156,0.0676826910175229,0.031281,0.110038343500956,0.192154714285714
SBS10c,0.100231997074783,0.397308587498738,0.070720432230211,0.040603,0.133308645410676,0.214447615384615
SBS96,0.100589463568341,0.530615406583457,0.0774978969105782,0.041155,0.126675922235034,0.214447615384615
SBS39,0.103545426813756,0.27298318373979,0.0742026209480007,0.045735,0.132492475154486,0.214447615384615
SBS25,0.10560713590883,0.363944478200976,0.0714585231098942,0.049022,0.13412507317444,0.214447615384615
SBS9,0.108924738275129,0.200383835047558,0.0785814300372058,0.054687,0.141749635266262,0.214447615384615
SBS10d,0.109099460055826,0.251868176503271,0.0765692806701503,0.055024,0.135491987754791,0.214447615384615
SBS20,0.110222689717281,0.579501729373177,0.0698991946234198,0.057055,0.133803004772802,0.214447615384615
SBS89,0.111551309925954,0.456570537206367,0.0704942012014402,0.059491,0.133174182563646,0.214447615384615
SBS46,0.113330145218402,0.158470216264792,0.0828822406583837,0.062885,0.134651340284082,0.214447615384615
SBS91,0.113734205727443,0.306366644575462,0.0798691083604838,0.063668,0.130647594328112,0.214447615384615
SBS45,0.114204436110454,0.289358554814857,0.0740976350957784,0.064551,0.127161141342825,0.214447615384615
SBS23,0.114350682413067,0.460293139844568,0.077075422966007,0.064833,0.122804483108159,0.214447615384615
SBS36,0.118362375197548,0.256497533935302,0.0777438574409098,0.072889,0.132950409457139,0.2220004
SBS38,0.118727526977992,0.0435705618010533,0.0789569681947266,0.073638,0.129519573202957,0.2220004
SBS98,0.120351109407928,0.330681924775405,0.0763315600422188,0.077156,0.131027712135753,0.2220004
SBS3,0.120475507442592,0.115077176041813,0.0786659080679785,0.077442,0.127129622415752,0.2220004
SBS30,0.127618971983852,0.262199615503979,0.0816522886739492,0.093823,0.149052434211907,0.260283161290323
SBS14,0.129601133398357,0.207947750093189,0.0800675452793076,0.098738,0.151958780338268,0.265358375
SBS95,0.132149844820199,0.309310012058692,0.0901936239820107,0.105221,0.157029025830567,0.274212303030303
SBS12,0.135220016708064,-0.0869172693350701,0.083762452947189,0.11311,0.163837584614889,0.286101764705882
SBS44,0.146486909465835,0.349123796135702,0.078768904419041,0.14575,0.205084090217887,0.358128571428571
SBS58,0.148156066955273,0.649789782605844,0.132433296038851,0.150861,0.206379203869377,0.360390166666667
SBS59,0.150602311190536,0.299451648635663,0.103351354703443,0.158465,0.210922583556295,0.368324054054054
SBS52,0.152225043496058,-0.0961455245702067,0.0905652528391349,0.163739,0.21220713815772,0.370567210526316
SBS40b,0.15563961470647,-0.00115273305754084,0.0900228343531726,0.17491,0.220872417240686,0.38221195
SBS49,0.156475030874929,0.33847125246097,0.0949069492761695,0.177773,0.218875555567865,0.38221195
SBS40a,0.158739418020251,0.152658087633808,0.0930600623562318,0.185393,0.222690108492116,0.382719545454546
