SBS,JS,r_pearson,RMSD,p_rand,FDR,FDR_BH
SBS87,0.0685217212340365,0.420874371423714,0.0470837112925605,0.003398,0.288090275165448,0.292228
SBS37,0.0827537238723247,0.317232368480168,0.0481212582815382,0.009164,0.388472525252525,0.394052
SBS39,0.0980243750719025,-0.0318719095759218,0.0482336700752021,0.021924,0.619589090909091,0.628488
SBS92,0.132536800366594,-0.271472493772853,0.0587513053860024,0.088665,1,1
SBS5,0.136524917748502,-0.16010621436784,0.0570369738149631,0.100451,1,1
SBS4,0.155452571152488,-0.330960807083187,0.0659724899109879,0.168898,1,1
SBS29,0.157257398532355,-0.355998402910419,0.0639434039582787,0.176411,1,1
SBS89,0.158378156712566,0.0651055335568777,0.0612444289658772,0.181148,1,1
SBS19,0.159504350714136,0.0621636705199005,0.0643201330651881,0.185995,1,1
SBS95,0.160656465682673,-0.329880086939277,0.0634482852183938,0.190947,1,1
SBS40a,0.161919106697018,0.122711274111516,0.064119459108424,0.196398,1,1
SBS16,0.168387633641282,0.0897674511571958,0.062968397781963,0.226379,1,1
SBS22b,0.16858268254063,-0.176461505154632,0.0633951653339437,0.22735,1,1
SBS90,0.169918585564893,0.17338249118774,0.0652380118910795,0.233694,1,1
SBS98,0.177037139087332,0.392191512569453,0.083679955989944,0.26851,1,1
SBS12,0.17913461226126,0.0851389372097074,0.071245861705996,0.279156,1,1
SBS30,0.180326912225793,0.170365100916297,0.0624271967539581,0.285315,1,1
SBS24,0.18119712433062,-0.255077770227949,0.0758484744371493,0.289893,1,1
SBS96,0.182750689142871,0.0594127009170666,0.0655519683872291,0.297867,1,1
SBS97,0.184676834541472,-0.149517270965514,0.0665896899687433,0.308113,1,1
SBS7b,0.185423203041329,0.0829311408822931,0.0723396012474293,0.312135,1,1
SBS18,0.191680988414887,-0.0370289287356523,0.0740348741948415,0.345614,1,1
SBS85,0.195786593020226,0.379232486804851,0.078476762746866,0.368226,1,1
SBS46,0.196857140612208,-0.181743911391498,0.0741228235980536,0.374235,1,1
SBS93,0.201140577211436,-0.0244886823077684,0.0686123725680109,0.397941,1,1
SBS54,0.207406767204333,-0.187903356662657,0.0714871115711785,0.432931,1,1
SBS57,0.208496535287361,0.153649843214403,0.0746804052063221,0.439063,1,1
SBS40b,0.211787927986583,-0.0447742062113417,0.0773852025518266,0.457605,1,1
