SBS,JS,r_pearson,RMSD,p_rand,FDR,FDR_BH
SBS96,0.0889102132134313,0.491590267282943,0.0559901766145635,0.01338,1,0.676963333333333
SBS38,0.096885396757829,0.0878327728432532,0.0540176272394191,0.020673,0.886959035712187,0.676963333333333
SBS52,0.0995769047162078,-0.0827713832421079,0.051163518345676,0.023615,0.675455509709711,0.676963333333333
SBS51,0.107888070176457,0.0717818116245076,0.0524188393277368,0.034623,0.742736484628817,0.7443945
SBS4,0.115671896957124,-0.0878962872867823,0.053660568720823,0.048009,0.8239155680454,0.8257548
SBS39,0.129348990350494,-0.175376974818527,0.0568294251944448,0.079793,1,0.914987076923077
SBS49,0.141884344986064,-0.085937897651716,0.0633654326597174,0.117734,1,0.914987076923077
SBS18,0.142246655524495,-0.212237132424373,0.0617826245293833,0.118966,1,0.914987076923077
SBS40c,0.142948188508245,-0.283187759930969,0.0603101757509194,0.121355,1,0.914987076923077
SBS60,0.143430224870405,0.0271861870422074,0.0671711009767479,0.123004,1,0.914987076923077
SBS54,0.143674972642097,0.00161903657764678,0.0740947002557258,0.123875,0.966320150119806,0.914987076923077
SBS95,0.145424705757224,-0.236917768381517,0.0605047702160447,0.129912,0.928962271621936,0.914987076923077
SBS89,0.147698645823238,-0.0706982638700663,0.0662869093494018,0.138312,0.912949094861183,0.914987076923077
SBS24,0.157226760026787,-0.539301720965383,0.0626735145333831,0.176286,1,0.999993
SBS48,0.160073711754125,-0.267479727309783,0.064119827703237,0.188442,1,0.999993
SBS5,0.160932329854246,-0.262008893557415,0.0628390355973002,0.192189,1,0.999993
SBS19,0.163555215708073,0.0183213084341956,0.0614836200712171,0.203772,1,0.999993
SBS57,0.165823168182748,0.332898849901572,0.0770538710781052,0.21424,1,0.999993
SBS45,0.169708978748368,0.0336447786975166,0.0664699167043608,0.232674,1,0.999993
SBS32,0.170286337193805,0.0523579562542037,0.0618808176381715,0.235391,1,0.999993
SBS22b,0.182542215946455,-0.189447416032049,0.0682315802949737,0.296829,1,0.999993
SBS55,0.18803220598144,0.269460029097124,0.0692487107268104,0.325891,1,0.999993
SBS97,0.189602427260854,-0.353961564235994,0.0697166502177172,0.334401,1,0.999993
SBS22a,0.192578116801992,0.0356326842236132,0.0834251325539609,0.350445,1,0.999993
SBS91,0.193500045033822,-0.258933987561441,0.0701734871077917,0.355388,1,0.999993
SBS59,0.194948261450518,-0.211972694399211,0.0662491064384693,0.363536,1,0.999993
SBS30,0.197871564576312,0.00953280230721411,0.0725958775395095,0.379841,1,0.999993
SBS7b,0.199744761233031,-0.354524886534013,0.0707284925803846,0.390156,1,0.999993
SBS40a,0.201428539993977,-0.126231532970571,0.0772904523891413,0.399546,1,0.999993
SBS98,0.203537518084501,0.316460922222339,0.092145027281687,0.411356,1,0.999993
SBS10c,0.203585777343912,-0.380578735341759,0.0684542935591197,0.411632,1,0.999993
SBS7d,0.203737609185667,0.0199875277746638,0.0825145373407969,0.412477,1,0.999993
SBS87,0.204289858226426,0.244377836732731,0.105194559912419,0.415578,1,0.999993
SBS12,0.212694121037394,-0.105867372123068,0.0811471806539174,0.462591,1,0.999993
SBS31,0.213242654434823,-0.104571933301689,0.0737257017331548,0.465505,1,0.999993
SBS56,0.217406254291392,-0.00807732411694144,0.0835394639032907,0.488852,1,0.999993
SBS3,0.219617674778793,-0.213485288392573,0.0680660202033906,0.501026,1,0.999993
SBS9,0.226142043183674,-0.242562358184066,0.0820347803232351,0.536396,1,0.999993
SBS90,0.233773810942481,-0.0801652218391836,0.0877936953274862,0.577177,1,0.999993
SBS93,0.238206802724845,-0.134083944001567,0.0907925912345994,0.599877,1,0.999993
SBS36,0.239672422745611,-0.18079741554645,0.0933870136585174,0.607425,1,0.999993
SBS94,0.243228495012019,-0.448659596832668,0.0800374984756999,0.625395,1,0.999993
SBS47,0.243738530813739,-0.299928587609971,0.0829551713911483,0.627958,1,0.999993
SBS25,0.252859660510702,-0.0156959415165942,0.0857295784609307,0.67199,1,0.999993
SBS58,0.254107004781257,0.354811411660281,0.108559832825766,0.677855,1,0.999993
SBS40b,0.26149879692695,-0.313633054114641,0.0879080287701115,0.711315,1,0.999993
SBS7a,0.266134189260712,-0.108588640486598,0.0944708706471115,0.730633,1,0.999993
SBS17a,0.266556657246897,-0.09123289228718,0.104295755649074,0.732406,1,0.999993
SBS29,0.26706168364871,-0.341342312429214,0.0843161945028233,0.73451,1,0.999993
SBS26,0.267976294483917,-0.227698278273434,0.0958188230325764,0.738277,1,0.999993
SBS10d,0.282669617695285,-0.673121793877406,0.0873227342849296,0.794083,1,0.999993
SBS8,0.292940865557251,-0.333068092738991,0.0807892080835405,0.828246,1,0.999993
SBS92,0.29718322398184,-0.142308623743156,0.112074309185403,0.840953,1,0.999993
SBS37,0.304593620241353,0.440091844761299,0.129162195318428,0.861794,1,0.999993
SBS85,0.315281987394989,-0.0322626852704191,0.0904928297210416,0.887608,1,0.999993
SBS27,0.328017745455911,-0.375609021851239,0.0911000008509433,0.913672,1,0.999993
SBS15,0.329735897898921,-0.291240726819954,0.104809249620732,0.916699,1,0.999993
SBS11,0.330893105750165,-0.4061796329186,0.0880030982942589,0.918782,1,0.999993
SBS20,0.337566477616021,0.295860164653876,0.109990298629992,0.92984,1,0.999993
SBS86,0.347754189343139,-0.523070377759152,0.0955506618028344,0.944207,1,0.999993
SBS41,0.348714304678374,-0.104095682987284,0.133807953658764,0.945424,1,0.999993
SBS16,0.350424244264144,-0.211602037244091,0.127023082776203,0.94759,1,0.999993
SBS46,0.35100077175582,-0.185522690904873,0.10648192813418,0.948235,1,0.999993
SBS1,0.354476269475621,0.25071492857146,0.107072219930575,0.952311,1,0.999993
SBS35,0.354570315190231,-0.551152148409154,0.100394556176996,0.952423,1,0.999993
SBS28,0.358521722018469,-0.0026323336588898,0.09276544050487,0.956864,1,0.999993
SBS99,0.361260191258077,-0.249893384590999,0.101092723552157,0.959626,1,0.999993
SBS42,0.374072474765845,-0.414320572026009,0.107225288705934,0.970855,1,0.999993
SBS43,0.382835992847645,-0.0948468155768096,0.104325496551384,0.976683,1,0.999993
SBS10a,0.394044503373126,-0.574292860910609,0.0981495268044517,0.982704,1,0.999993
SBS14,0.395995615344645,-0.290597933714258,0.114591398899927,0.983639,1,0.999993
SBS44,0.410719964839998,0.0952903366503802,0.10575787269144,0.989246,1,0.999993
SBS21,0.416882436809811,-0.618223859322361,0.11153515916423,0.991021,1,0.999993
SBS6,0.421000973749433,-0.28108711572027,0.11291350958639,0.992053,1,0.999993
SBS7c,0.422134552726647,-0.162424675787413,0.138805760539051,0.992333,1,0.999993
