SBS,JS,r_pearson,RMSD,p_rand,FDR,FDR_BH
SBS25,0.0380981013299412,0.594029268628534,0.0321274664573431,0.000102,0.00662188902177429,0.003655
SBS96,0.0413745192350315,0.703643583840887,0.0381839613747705,0.000166,0.00538839989026731,0.003655
SBS52,0.0417986406844267,0.538426627844474,0.0339213516163354,0.000182,0.00393850915674157,0.003655
SBS37,0.0423287574683981,0.527422670911766,0.0344436123667858,0.000201,0.00326225415043292,0.003655
SBS93,0.04292449978458,0.46147359934645,0.0371737709704767,0.000222,0.00288246933888998,0.003655
SBS18,0.0440560115036502,0.586319685640555,0.0325469229730441,0.000255,0.00275912042573929,0.003655
SBS39,0.0517119363225659,0.428434010746867,0.0365764005178112,0.000671,0.00622309178376827,0.00824371428571429
SBS41,0.060024739997041,0.503331287176815,0.0375452894811553,0.001634,0.0132600081637,0.0175655
SBS36,0.0689865724074665,0.129404492838192,0.0445229712523232,0.003513,0.0253406275963977,0.0335686666666667
SBS38,0.073441441779308,0.0523686630601109,0.0449163871081594,0.004859,0.0315448615262757,0.0417874
SBS29,0.0775306311263308,0.516424153431707,0.0441285457100892,0.006534,0.0385627654797444,0.0470883076923077
SBS49,0.0784856725751254,0.447594927791542,0.0541941523440935,0.007005,0.0378973305535367,0.0470883076923077
SBS33,0.0787230523853873,0.18143810970976,0.0519018730168637,0.007118,0.0355464600731443,0.0470883076923077
SBS60,0.0812244153942968,0.447880923585575,0.042089829961232,0.008337,0.0386601462006528,0.051213
SBS86,0.08534660371131,0.301821300955898,0.0550105471969637,0.010803,0.0467557301321749,0.057018
SBS5,0.0853766874856687,0.0401413144483459,0.0444050738689934,0.010825,0.0439227626597467,0.057018
SBS53,0.086012350990722,0.117170612036954,0.049873386728896,0.011271,0.0430422786415329,0.057018
SBS45,0.0886604193285575,0.199131073167814,0.0547791682506287,0.0132,0.0476083524441289,0.0630666666666667
SBS26,0.0939218203779684,0.102694768373557,0.0481050888530953,0.0177,0.060478552985245,0.0792748
SBS22b,0.0946935098161354,-0.0983564806538694,0.0512817578166596,0.018436,0.05984369902227,0.0792748
SBS9,0.103360801615811,-0.267360514550358,0.0519767674651759,0.028267,0.0873860583466358,0.110042608695652
SBS10c,0.104082921425132,-0.0566630784999811,0.0512855317346123,0.029215,0.0862114473133404,0.110042608695652
SBS27,0.104236719615675,-0.0749513985846183,0.0536360418368116,0.02943,0.0830699888792913,0.110042608695652
SBS94,0.116916946096635,-0.17617312391916,0.0544808102159576,0.050437,0.136433095012757,0.180732583333333
SBS57,0.119172969040224,0.181710381130637,0.0598834427175051,0.055086,0.14304838378567,0.182650769230769
SBS17b,0.119238191774982,0.583304936366438,0.056211726921066,0.05522,0.137881113040112,0.182650769230769
SBS6,0.129291657704412,0.439705985743385,0.053983072203902,0.079626,0.191457710692738,0.253623555555556
SBS40a,0.141433072148228,-0.351959373299709,0.059051705635577,0.116206,0.269433906044924,0.356918428571429
SBS46,0.146449128116841,0.000632512025576579,0.0663267106319924,0.133662,0.299220733748612,0.3954108
SBS40b,0.147598935487022,-0.0464881858683132,0.0648914668667284,0.137934,0.298491385728567,0.3954108
SBS40c,0.148926731554896,-0.398667562192309,0.0609403318340712,0.143001,0.299473988615669,0.396712451612903
SBS17a,0.151661784873761,0.249032511242177,0.0582840988303092,0.153683,0.311786694403596,0.4130230625
SBS51,0.155679388121635,0.335615064881242,0.0802002088644006,0.169825,0.334094564207611,0.442574242424242
SBS92,0.161624071243719,-0.269276671709002,0.0668580659187956,0.195077,0.372485076326604,0.493430058823529
SBS89,0.166739007052493,0.298760118225163,0.0728836464852297,0.218496,0.40528186658308,0.536875885714286
SBS20,0.184494934600849,0.0546918573556095,0.0679354141070186,0.307148,0.553894327140503,0.71381505
SBS48,0.185266499043059,0.176069419112936,0.0764854692640334,0.311299,0.546207586271678,0.71381505
SBS95,0.186046703986791,-0.453064108698917,0.0743998976549871,0.315412,0.538860490231133,0.71381505
SBS32,0.188427256270295,-0.185891789149541,0.0736714367092163,0.328066,0.546107753599146,0.71381505
