SBS,JS,r_pearson,RMSD,p_rand,FDR,FDR_BH
SBS25,0.0380981013299412,0.594029268628534,0.0321274664573431,0.000102,0.00662188902177429,0.003655
SBS96,0.0413745192350315,0.703643583840887,0.0381839613747705,0.000166,0.00538839989026731,0.003655
SBS52,0.0417986406844267,0.538426627844474,0.0339213516163354,0.000182,0.00393850915674157,0.003655
SBS37,0.0423287574683981,0.527422670911766,0.0344436123667858,0.000201,0.00326225415043292,0.003655
SBS93,0.04292449978458,0.46147359934645,0.0371737709704767,0.000222,0.00288246933888998,0.003655
SBS18,0.0440560115036502,0.586319685640555,0.0325469229730441,0.000255,0.00275912042573929,0.003655
SBS39,0.0517119363225659,0.428434010746867,0.0365764005178112,0.000671,0.00622309178376827,0.00824371428571429
SBS41,0.060024739997041,0.503331287176815,0.0375452894811553,0.001634,0.0132600081637,0.0175655
SBS36,0.0689865724074665,0.129404492838192,0.0445229712523232,0.003513,0.0253406275963977,0.0335686666666667
SBS38,0.073441441779308,0.0523686630601109,0.0449163871081594,0.004859,0.0315448615262757,0.0417874
SBS29,0.0775306311263308,0.516424153431707,0.0441285457100892,0.006534,0.0385627654797444,0.0470883076923077
SBS49,0.0784856725751254,0.447594927791542,0.0541941523440935,0.007005,0.0378973305535367,0.0470883076923077
SBS33,0.0787230523853873,0.18143810970976,0.0519018730168637,0.007118,0.0355464600731443,0.0470883076923077
