SBS,JS,r_pearson,RMSD,p_rand,FDR,FDR_BH
SBS89,0.0277082325212987,0.708513486915935,0.0307105157332759,1.5e-05,0.000731842848450026,0.001075
SBS26,0.0303111870257174,0.715845998048821,0.0279136407064542,2.5e-05,0.000609869040375021,0.001075
SBS10c,0.0389200831335638,0.530327761536788,0.0338564241748328,0.000113,0.00183773870833006,0.00323933333333333
SBS5,0.0420268395622068,0.591612950663436,0.0361854955647205,0.000188,0.00229310759181008,0.004042
SBS6,0.0439591386635265,0.507494320506591,0.0407318721928679,0.000254,0.00247850778008409,0.0043688
SBS44,0.0486064563167526,0.514456874179267,0.0421471603972742,0.000468,0.00380558281194013,0.00594355555555556
SBS98,0.049209154505048,0.557555001321288,0.0402933355257252,0.000507,0.00353375546823012,0.00594355555555556
SBS25,0.0506370217061538,0.480493926153989,0.0360499555934893,0.000593,0.00361652340942388,0.00594355555555556
SBS40b,0.0510175949928804,0.41572965354282,0.0399245110466241,0.000622,0.00337189816100679,0.00594355555555556
SBS42,0.0568666385972207,0.512788632437206,0.0394864300583528,0.0012,0.0058547427876002,0.00946716666666667
SBS36,0.0573501598207126,0.442113645583698,0.0381855797408416,0.001256,0.00557087647062565,0.00946716666666667
SBS12,0.0579101567251322,0.287685188774743,0.0395722297061075,0.001321,0.00537091334890269,0.00946716666666667
SBS3,0.0602158843524319,0.270627640858089,0.0397611495045579,0.001661,0.00623379985269483,0.010578
SBS4,0.0605871284485675,0.618117404607319,0.0408547742375788,0.001722,0.00600111135729021,0.010578
SBS10d,0.0627821152917742,0.282485145689209,0.0438943419613121,0.00208,0.00676548055456024,0.0119253333333333
SBS39,0.0649984466520029,0.206779603488551,0.0397848059475608,0.002546,0.00776363288397402,0.0129809411764706
SBS40a,0.0650794776545875,0.417325673358358,0.0423204101415891,0.002566,0.00736434803577555,0.0129809411764706
SBS24,0.0724570349396816,0.323795976906059,0.04095887590581,0.004546,0.0123220651446438,0.0212555789473684
SBS97,0.0729395446037739,0.280972921388307,0.0429164548104486,0.004696,0.0120587158467415,0.0212555789473684
SBS40c,0.0750317197901723,0.300443396152044,0.0464679657362782,0.00545,0.0132951450801755,0.0232527619047619
SBS92,0.0755690950129676,0.597524201946456,0.0560143638031882,0.005678,0.0131917577571405,0.0232527619047619
SBS38,0.0789101511658241,-0.0650956271195033,0.0459674068336491,0.007198,0.015963044918616,0.0281376363636364
SBS53,0.0805547936937042,0.226126584845944,0.0441741971946846,0.008,0.0169702689495658,0.0289676666666667
SBS14,0.080724485102681,0.396441528135038,0.0420103374310014,0.008084,0.0164339377413056,0.0289676666666667
SBS19,0.0855817328996694,0.391353979821794,0.0510198455429522,0.010954,0.0213776174984576,0.03768176
SBS52,0.0894532319529089,0.0339911522803087,0.0470354071985214,0.013793,0.0258828420735159,0.045623
