SBS,JS,r_pearson,RMSD,p_rand,FDR,FDR_BH
SBS92,0.0411969851871517,0.667077435394025,0.0351332349595261,0.000161,0.00877848174778761,0.013846
SBS52,0.0454952062859084,0.468751767256446,0.0377930147486551,0.000322,0.00877848174778761,0.013846
SBS94,0.0495243697017168,0.430796252214762,0.0380597665606858,0.000526,0.00956000289717657,0.0140825
SBS97,0.0514479085985878,0.471774488394994,0.0405511768622547,0.000655,0.00892842475900758,0.0140825
SBS36,0.055354759395611,0.502109518532205,0.0385423415635894,0.001021,0.011133950142225,0.0166225714285714
SBS3,0.0575006063592789,0.375313918552479,0.0399350723245769,0.001275,0.0115865054124526,0.0166225714285714
SBS49,0.0581381523676164,0.358338928963318,0.048700294704793,0.001353,0.0105388516457468,0.0166225714285714
SBS53,0.0616696290346329,0.404032175721833,0.0403770978823256,0.001881,0.0128201274593078,0.02022075
SBS4,0.0659315509613616,0.600036086575394,0.0517180200494851,0.002748,0.0166482179730299,0.0262586666666667
SBS98,0.0678497593536804,0.348851513739511,0.0469369641301998,0.003207,0.0174860813448167,0.0275802
SBS35,0.0719554097224879,0.27571845969789,0.0436211571888454,0.004361,0.021616577584473,0.0340950909090909
SBS96,0.0751905743062893,0.564831325834282,0.0485233176457322,0.005532,0.025135901153603,0.0372049230769231
SBS87,0.0754214209388325,0.394881745883945,0.0504111822589343,0.005624,0.0235882376252066,0.0372049230769231
SBS5,0.0784673328198218,0.181276991178228,0.0522127475423086,0.006987,0.0272117355686744,0.0429201428571429
SBS24,0.0803190803129382,0.384609113238705,0.0436185073043475,0.007869,0.0286036740676359,0.0447250588235294
SBS39,0.0817217811838151,0.0348535857767286,0.0463052821091098,0.008599,0.0293036353063764,0.0447250588235294
SBS22b,0.08215761725484,0.440763264170729,0.0519958213036564,0.008841,0.0283560676405518,0.0447250588235294
SBS40c,0.0872769422863648,0.156303853104028,0.0544159284794143,0.012136,0.0367617855386993,0.0579831111111111
SBS89,0.0900145490396986,0.616810416219856,0.0783358107115825,0.014194,0.0407328440431832,0.0642465263157895
SBS25,0.0958917162171093,0.587135192696885,0.0432536042734599,0.019621,0.0534914876935841,0.0843703
SBS12,0.100143120759752,0.256748705681975,0.0553708442401812,0.024279,0.0630383786910782,0.0951238181818182
SBS8,0.100195891423961,0.49833496800978,0.0504412429884717,0.024334,0.0603093096698655,0.0951238181818182
SBS31,0.102410064409453,0.222445880026885,0.0557944815529163,0.027044,0.0641116015088221,0.101121043478261
SBS37,0.10479454814057,0.270207167106844,0.0538605777660632,0.030156,0.0685103249446903,0.108059
SBS33,0.114284439254671,0.53442141773256,0.070738328270893,0.045383,0.0989798353192162,0.15611752
SBS85,0.117008711067399,0.474272779226345,0.0674891879601891,0.050615,0.106144972208378,0.164189925925926
SBS32,0.117479171716385,0.500200539726909,0.0537351614174171,0.051548,0.104097809324812,0.164189925925926
SBS19,0.120592459159975,0.00140491003946429,0.0594488801582019,0.05817,0.113275129385272,0.178665
SBS42,0.126898529037651,0.216521008191752,0.0716679454772977,0.073244,0.137710669765465,0.217206344827586
SBS86,0.130572456860153,0.216301101340921,0.0639602661987147,0.083175,0.151169817675411,0.238435
SBS11,0.132786751646354,0.56466162688746,0.0482849372338563,0.089397,0.157237013185127,0.243288625
SBS40a,0.133191715959907,0.0276388647046543,0.0717511303103093,0.090526,0.15424705720113,0.243288625
SBS18,0.138421833560764,0.307042261767991,0.0618697140824144,0.106403,0.175805908791614,0.277292666666667
SBS29,0.141406689278286,0.019761322439559,0.0622487056088975,0.116118,0.186214786918086,0.293710235294118
SBS16,0.144642638563657,0.195244474016146,0.0704492853705666,0.127274,0.198273733091024,0.304064944444444
SBS26,0.144646841422809,-0.1528400343121,0.0672137281399887,0.127283,0.192779760576889,0.304064944444444
SBS45,0.146203083075862,-0.247262342029681,0.0612083521053592,0.132746,0.195619999679673,0.304575789473684
SBS38,0.14669757828421,-0.0665772696879439,0.0723214744162461,0.13458,0.193103640669705,0.304575789473684
SBS22a,0.155549169957855,0.31519345685134,0.0703339651902236,0.169273,0.236655508981247,0.373268666666667
SBS7b,0.157909851543212,0.175623461696952,0.058672148322891,0.179192,0.244259891513906,0.3852628
SBS95,0.161421894733284,-0.0324551956993807,0.0673956818163338,0.194228,0.258298281004286,0.402133952380952
SBS40b,0.161917250983086,-0.0983101248151274,0.0783835034315155,0.196391,0.25495634559742,0.402133952380952
SBS48,0.164026036200927,0.471862844519466,0.0629021994638195,0.205883,0.261063145699806,0.411766
SBS9,0.16982268949739,0.0785343550963158,0.0743591961227091,0.233261,0.289056667274236,0.455919227272727
SBS7c,0.171559591213869,0.127493305988227,0.0755653947721401,0.241553,0.292680276276513,0.461634622222222
SBS13,0.190709190758178,0.601447333063514,0.0915197396159028,0.3403,0.403364479985434,0.636213043478261
SBS58,0.195263125612729,0.4305408536174,0.0725726439400869,0.365288,0.423770852475993,0.668399319148936
SBS46,0.20485281106861,-0.0481043029253406,0.0681939087954491,0.418708,0.475623775317372,0.750185166666667
SBS2,0.20773775407305,0.164372051312929,0.0630110003459178,0.434778,0.483799054042287,0.763079755102041
SBS1,0.209362518532871,0.400285421754447,0.0703305518086983,0.444061,0.484246134584387,0.76378492
SBS27,0.211571508727904,0.462463161155005,0.0748043161773301,0.456432,0.487977101583996,0.769669647058824
SBS34,0.2178839230739,0.541923536331884,0.0857551053017263,0.491457,0.515318478777169,0.812794269230769
SBS93,0.233261785058955,0.025452648146017,0.0908376633601711,0.574522,0.591050145400496,0.932243245283019
SBS10d,0.239876989701894,0.0404532752361609,0.094688580614535,0.608475,0.614387702034169,0.969052777777778
SBS7a,0.242727821161842,0.0372357052979576,0.0845457690492998,0.622847,0.61746482452448,0.973906218181818
SBS51,0.25867086469053,0.50435655901024,0.12365945122783,0.698619,0.680214523087581,0.999968
SBS6,0.275195963379799,-0.27352210823553,0.0870332838331452,0.766508,0.733221803152793,0.999968
SBS59,0.278788124853676,-0.111188787489004,0.119061588024899,0.779903,0.733172440623774,0.999968
SBS91,0.280193040802749,0.0750723101221509,0.110295161366985,0.785056,0.725507923675245,0.999968
SBS55,0.285511477358051,0.587642427249297,0.100677371240541,0.804054,0.73068047238464,0.999968
SBS90,0.298391777060355,0.0297604648920576,0.0948215169092166,0.844446,0.75480641462094,0.999968
SBS10c,0.299650432076464,-0.124880162592226,0.104733701381821,0.847989,0.745747942178388,0.999968
SBS43,0.30778546832748,0.36998891125741,0.0999180799954024,0.869964,0.752929418833905,0.999968
SBS7d,0.319415115778947,0.184318357508513,0.10333607718093,0.896687,0.763931527851167,0.999968
SBS50,0.319989840734878,0.161522172534874,0.107793286924101,0.897845,0.753150114175095,0.999968
SBS41,0.329311087310159,-0.0445270756744029,0.131615786327995,0.915954,0.756699178506781,0.999968
SBS17a,0.336332342503771,-0.24030991754276,0.111429239426118,0.927891,0.755119514919476,0.999968
SBS15,0.33718250666073,-0.143522734882115,0.129155552946919,0.929229,0.745087670443454,0.999968
SBS60,0.352524866689638,0.516361132539284,0.167760261573251,0.95,0.750702822972205,0.999968
SBS14,0.354436472742445,-0.624633847447699,0.100812352500866,0.952267,0.74174431930084,0.999968
SBS21,0.366223609758786,-0.286065048691896,0.132227456108886,0.964358,0.740582547575275,0.999968
SBS20,0.382699950589356,-0.173999766013049,0.101035120598916,0.976607,0.739572698780332,0.999968
