SBS,JS,r_pearson,RMSD,p_rand,FDR,FDR_BH
SBS92,0.0411969851871517,0.667077435394025,0.0351332349595261,0.000161,0.00877848174778761,0.013846
SBS52,0.0454952062859084,0.468751767256446,0.0377930147486551,0.000322,0.00877848174778761,0.013846
SBS94,0.0495243697017168,0.430796252214762,0.0380597665606858,0.000526,0.00956000289717657,0.0140825
SBS97,0.0514479085985878,0.471774488394994,0.0405511768622547,0.000655,0.00892842475900758,0.0140825
SBS36,0.055354759395611,0.502109518532205,0.0385423415635894,0.001021,0.011133950142225,0.0166225714285714
SBS3,0.0575006063592789,0.375313918552479,0.0399350723245769,0.001275,0.0115865054124526,0.0166225714285714
SBS49,0.0581381523676164,0.358338928963318,0.048700294704793,0.001353,0.0105388516457468,0.0166225714285714
SBS53,0.0616696290346329,0.404032175721833,0.0403770978823256,0.001881,0.0128201274593078,0.02022075
SBS4,0.0659315509613616,0.600036086575394,0.0517180200494851,0.002748,0.0166482179730299,0.0262586666666667
SBS98,0.0678497593536804,0.348851513739511,0.0469369641301998,0.003207,0.0174860813448167,0.0275802
SBS35,0.0719554097224879,0.27571845969789,0.0436211571888454,0.004361,0.021616577584473,0.0340950909090909
SBS96,0.0751905743062893,0.564831325834282,0.0485233176457322,0.005532,0.025135901153603,0.0372049230769231
SBS87,0.0754214209388325,0.394881745883945,0.0504111822589343,0.005624,0.0235882376252066,0.0372049230769231
SBS5,0.0784673328198218,0.181276991178228,0.0522127475423086,0.006987,0.0272117355686744,0.0429201428571429
SBS24,0.0803190803129382,0.384609113238705,0.0436185073043475,0.007869,0.0286036740676359,0.0447250588235294
SBS39,0.0817217811838151,0.0348535857767286,0.0463052821091098,0.008599,0.0293036353063764,0.0447250588235294
SBS22b,0.08215761725484,0.440763264170729,0.0519958213036564,0.008841,0.0283560676405518,0.0447250588235294
