SBS,JS,r_pearson,RMSD,p_rand,FDR,FDR_BH
SBS98,0.142164730232053,0.474709941167647,0.0904243135596509,0.006808,0.58349184343791,0.585488
SBS87,0.18209983144433,0.149483936157667,0.0967574238491456,0.028049,1,1
SBS39,0.242357103346127,-0.314211159789855,0.101285800810771,0.115811,1,1
SBS53,0.258753558334944,0.402127802162005,0.116816999369884,0.154422,1,1
SBS37,0.26172934340421,-0.0667268463169177,0.102133371515663,0.162231,1,1
SBS89,0.267285454720121,0.0285325419826288,0.101783284886607,0.177249,1,1
SBS4,0.274362816993033,-0.297086037189235,0.107222061153861,0.19753,1,1
SBS92,0.28010061573751,-0.361849769422562,0.106033119929571,0.214732,1,1
SBS32,0.295180850451106,0.0441042944041012,0.106776818012806,0.263264,1,1
SBS29,0.305069963672664,-0.331100126618265,0.110687294253065,0.297858,1,1
SBS24,0.306614180872968,-0.224577491145839,0.114198858230366,0.30338,1,1
SBS97,0.306786808223443,-0.159445633261957,0.108937738457697,0.304013,1,1
SBS5,0.310464980659645,-0.408600622593548,0.109811146909885,0.317536,1,1
SBS22b,0.326586910134092,-0.320236629424805,0.111895869801975,0.379596,1,1
SBS3,0.330897648038476,-0.225437512516435,0.113023996897441,0.396848,1,1
SBS40a,0.330967375006699,-0.207115549859317,0.113915288778021,0.39711,1,1
SBS19,0.331501882266941,-0.313570586360581,0.11417573533175,0.399239,1,1
SBS96,0.333548060446331,-0.142729302031634,0.113333984744974,0.407604,1,1
SBS12,0.342041584428242,-0.180952633657963,0.116351239945985,0.442713,1,1
SBS93,0.342309983985059,-0.140564186651626,0.113300217371976,0.443818,1,1
SBS31,0.344576826747631,-0.125070554216863,0.117131712795378,0.453379,1,1
SBS22a,0.347405851799175,0.0385724315474792,0.118706260346674,0.465254,1,1
SBS8,0.352823987961392,-0.291999994496841,0.112606234196476,0.48819,1,1
SBS40c,0.357231470620092,-0.481606206750493,0.117440755333456,0.506794,1,1
SBS60,0.357304704798556,0.0977719816505123,0.143709940219779,0.507084,1,1
SBS30,0.35938229801483,-0.165514335093111,0.115125540587915,0.515864,1,1
SBS26,0.361647145213491,-0.433470826617939,0.117835360434327,0.525309,1,1
SBS54,0.364460987558858,-0.212403344740983,0.118916861511368,0.537015,1,1
SBS16,0.367337051026003,-0.313823788226268,0.116231402551815,0.549229,1,1
SBS95,0.373876494832539,-0.576246749275021,0.118404572739525,0.5763,1,1
SBS57,0.374942243041671,-0.0195707310185666,0.121297197079596,0.58075,1,1
SBS46,0.37744613206854,-0.458376047066586,0.121509127668298,0.591137,1,1
SBS94,0.381883489931813,-0.227816611118929,0.129651959255524,0.609467,1,1
SBS90,0.386948264408807,-0.241954742796727,0.120764045862408,0.629967,1,1
SBS58,0.388971545111637,0.121760453851038,0.154707908829672,0.638053,1,1
SBS1,0.393985663916104,-0.156239526864142,0.126565458723655,0.657796,1,1
SBS85,0.39485936132085,-0.00251272500784909,0.126886966413623,0.661256,1,1
SBS51,0.397801404471186,0.151419842325313,0.164963911108886,0.672797,1,1
SBS6,0.398032983956033,-0.223412797289957,0.138055296705655,0.673716,1,1
SBS47,0.401514130564144,0.135824006157955,0.139461571327928,0.68679,1,1
SBS27,0.41260065371865,-0.433077895115522,0.122735243563278,0.727159,1,1
SBS35,0.413759280457827,-0.212662670136736,0.123610028515985,0.731232,1,1
SBS50,0.414275828617567,0.125864274616778,0.137540470797788,0.733054,1,1
SBS11,0.414494774989763,-0.14668728441382,0.133072714552385,0.733759,1,1
SBS38,0.414569397699256,-0.234895237986808,0.133494096378186,0.734025,1,1
SBS17a,0.416181883583944,-0.0273582484580359,0.128227804463789,0.739749,1,1
SBS7b,0.419017681570758,-0.256847994995232,0.129803041022184,0.749408,1,1
SBS40b,0.419525675717692,-0.314516988465957,0.128460135015622,0.751166,1,1
SBS55,0.424949739827275,-0.0820766453815893,0.12763773348061,0.769233,1,1
SBS84,0.431929213442214,-0.227079291996262,0.128624213982127,0.791398,1,1
SBS23,0.433353047386697,-0.222450874529631,0.139445238162515,0.795735,1,1
SBS34,0.440489428013739,-0.0146670896265235,0.133391909934074,0.816615,1,1
SBS25,0.442867570530697,-0.414683013677425,0.127193929558862,0.823202,1,1
SBS21,0.446890612305576,-0.236147584574862,0.14009825268757,0.834027,1,1
SBS86,0.454041479820591,-0.540249046510103,0.127792604931413,0.852252,1,1
SBS7c,0.457356019872961,-0.20319818942291,0.146620953703471,0.860058,1,1
SBS7a,0.458237329166267,-0.317178115537859,0.136146530734249,0.862138,1,1
SBS43,0.469182322315822,0.110424113558642,0.152741233610875,0.885885,1,1
SBS18,0.485355321009684,-0.484341110765499,0.134805624097969,0.915435,1,1
SBS41,0.487758027186054,-0.450025927280791,0.135236134830314,0.919348,1,1
SBS49,0.500409822070014,-0.0160018565538287,0.207179141323985,0.937522,1,1
SBS33,0.503029818948196,-0.413464740981185,0.141408989160692,0.940864,1,1
SBS45,0.510986971787107,-0.301369156268707,0.144247560617819,0.950277,1,1
SBS42,0.513471322607934,-0.365397558393113,0.137680425785572,0.952855,1,1
SBS2,0.552726268184909,-0.311393024933915,0.150007692913065,0.981973,1,1
SBS28,0.555012235180861,-0.175926898965691,0.187230216330715,0.983002,1,1
SBS36,0.577538896458845,-0.450249521643153,0.150001486463998,0.991017,1,1
SBS9,0.57972072958277,-0.406593419828034,0.152525617675742,0.99154,1,1
SBS52,0.59736285929434,-0.223732323809591,0.190248044925023,0.995101,1,1
SBS17b,0.611747278962486,-0.26831045241662,0.168529721626181,0.99698,1,1
SBS44,0.621632483911915,-0.289735271697026,0.161685174550953,0.997838,1,1
SBS20,0.623634136729293,-0.131248625707849,0.214856589577467,0.997984,1,1
SBS10c,0.634778581077146,-0.284883588344148,0.190556688404506,0.998645,1,1
SBS91,0.645474654272723,-0.206130234139524,0.174100587033491,0.999125,1,1
SBS15,0.646970023415846,-0.426703456635214,0.157031624472391,0.999175,1,1
SBS7d,0.657712412408094,-0.278911080021324,0.170683347926618,0.999446,1,1
SBS14,0.660861739663964,-0.361326053782034,0.165255445733435,0.99951,1,1
SBS10d,0.682100595598857,-0.290084817570325,0.19068369228015,0.999799,1,1
SBS48,0.696065994598703,-0.0719720669846382,0.213845460490992,0.999887,1,1
SBS59,0.726203684714715,-0.248567667031249,0.20446113678211,0.999969,1,1
SBS56,0.726485496080919,-0.281578630690247,0.200219103609746,0.999969,1,1
SBS13,0.728423036469131,-0.298570781028669,0.18372234134364,0.999973,1,1
SBS10b,0.736265414296521,-0.214812628186638,0.238247016016647,0.999982,1,1
SBS88,0.787908537712484,-0.401232538122422,0.175358959124051,0.999999,1,1
SBS99,0.82011901955967,-0.21171319970382,0.234478933404911,1,1,1
SBS10a,0.85670386940715,-0.231229032254858,0.249148274100736,1,0.996590610632344,1
