SBS,JS,r_pearson,RMSD,p_rand,FDR,FDR_BH
SBS98,0.178984228295894,0.601984612332287,0.0851444241663653,0.025564,1,1
SBS32,0.187655459380918,0.301862561903267,0.0889970795747466,0.032953,1,1
SBS31,0.238739107804205,0.16963933558966,0.0984696643766906,0.108147,1,1
SBS60,0.245388784158928,-0.0230454168198414,0.103290756752456,0.122355,1,1
SBS96,0.247768127133506,0.0774727890359072,0.107124605805302,0.127785,1,1
SBS18,0.248853378793105,-0.108836925907289,0.103184649738901,0.130234,1,1
SBS87,0.251846826988179,0.264059232921395,0.123034209734013,0.13736,1,1
SBS49,0.254753482403125,-0.0124148595997167,0.103094804542918,0.144484,1,1
SBS52,0.261660452941186,-0.310488267144134,0.10335059148828,0.162042,1,1
SBS4,0.26468690673073,-0.350042016154044,0.105350842335164,0.170155,1,1
SBS51,0.274329455866997,-0.0230577222588619,0.100636522650533,0.197434,1,1
SBS91,0.281296273807542,-0.17594520735831,0.10908922306961,0.218396,1,1
SBS57,0.283609632135188,0.0376962227924206,0.114865767369362,0.22551,1,1
SBS59,0.285176859200865,-0.112652676659604,0.106879145574028,0.230575,1,1
SBS7d,0.288370518316881,-0.0241333646970043,0.115023905801737,0.240748,1,1
SBS40c,0.28992000399823,-0.324271110327197,0.107535327813701,0.245813,1,1
SBS38,0.290820454850297,-0.344106132880508,0.110411287814039,0.248793,1,1
SBS39,0.297386745468858,-0.349742871654933,0.107827733995302,0.270767,1,1
SBS19,0.297806255175724,-0.147799781797546,0.108375720491002,0.272184,1,1
SBS24,0.29846146160575,-0.456918843739277,0.109480511519819,0.274488,1,1
SBS37,0.303495489434254,0.24085103575916,0.129331063176484,0.292291,1,1
SBS56,0.306444685045169,0.0812259998601543,0.114228812555349,0.302795,1,1
SBS30,0.308571426289484,-0.134603776343889,0.113314849877253,0.310653,1,1
SBS7b,0.309780409811989,-0.103541235434324,0.114075848984659,0.314974,1,1
SBS5,0.329654534824415,-0.403644118100097,0.112751751916095,0.391877,1,1
SBS95,0.330334395090219,-0.421823282759098,0.112979716918366,0.394621,1,1
SBS89,0.332837221297282,-0.272246590121954,0.115704940662311,0.404741,1,1
SBS45,0.333607030300371,-0.244559174474743,0.116881256100822,0.407823,1,1
SBS48,0.334944642918353,-0.161771615932216,0.125138192259601,0.41332,1,1
SBS10c,0.336353430202891,-0.328651405955896,0.113140783743972,0.419057,1,1
SBS7a,0.337950051395958,-0.145273752426611,0.125843209350448,0.425827,1,1
SBS97,0.34021051667643,-0.380949235646638,0.115065950408625,0.435179,1,1
SBS29,0.345546563925654,-0.189909684141687,0.12032574200344,0.457448,1,1
SBS1,0.346714404986822,0.0322841917963616,0.126092449821322,0.462377,1,1
SBS22b,0.35974727064471,-0.353181878475924,0.117625934467988,0.517395,1,1
SBS54,0.363676439543342,-0.177600127402289,0.1215011313801,0.533823,1,1
SBS10d,0.366430307493114,-0.259134392616995,0.12031943038542,0.545304,1,1
SBS20,0.366700130165701,0.0831671301458657,0.128007905170537,0.546468,1,1
SBS9,0.367487534882046,-0.253595980625659,0.120807161418071,0.549874,1,1
SBS47,0.371481610711073,-0.301887955876677,0.119035932095892,0.566305,1,1
SBS40a,0.375811686184921,-0.306932366125508,0.12232007507054,0.584408,1,1
SBS94,0.38116693746525,-0.361006507315733,0.122342108453214,0.606472,1,1
SBS11,0.385427992264462,-0.156581788450223,0.123080876782644,0.623929,1,1
SBS6,0.388493900817977,-0.0530630456571269,0.124979868827467,0.636152,1,1
SBS86,0.389584716746255,-0.234799085246824,0.122262909673898,0.640548,1,1
SBS8,0.3931651497134,-0.231998378062785,0.121538638727795,0.654605,1,1
SBS58,0.393303910697271,0.0177743598549455,0.142682507871309,0.655147,1,1
SBS55,0.395801149352392,-0.21750736415281,0.127990246481081,0.664946,1,1
SBS22a,0.402900599045978,-0.238980073882708,0.131596679307151,0.692015,1,1
SBS53,0.40355490989587,-0.00108899015316749,0.185836073493422,0.694471,1,1
SBS3,0.420979629348616,-0.477647464392723,0.120371160076227,0.756024,1,1
SBS36,0.421156777832897,-0.323597920389748,0.134976946533169,0.756564,1,1
SBS40b,0.424082217484485,-0.361969346483881,0.128898503021286,0.766462,1,1
SBS93,0.427732887732612,-0.329158888639861,0.131712638107076,0.778178,1,1
SBS12,0.431805934536526,-0.371593158752979,0.131080280961683,0.790993,1,1
SBS17a,0.432646191453256,-0.23154878674438,0.143111420582013,0.793612,1,1
SBS85,0.446631798608974,-0.15377237906122,0.133286091014361,0.833313,1,1
SBS25,0.458014782767342,-0.352697916140355,0.135171480868625,0.861582,1,1
SBS26,0.466337250837438,-0.390751280773106,0.137849556153939,0.880115,1,1
SBS90,0.467190044349193,-0.357964480938047,0.134805045465016,0.881828,1,1
SBS43,0.469878169127587,-0.108868006424797,0.135983106241586,0.88733,1,1
SBS35,0.471284869041783,-0.349549026792614,0.134045121170727,0.890083,1,1
SBS15,0.483167845802619,-0.330120206281544,0.139719052631548,0.911829,1,1
SBS28,0.488457094561748,-0.25997121845439,0.125886316644383,0.920468,1,1
SBS27,0.495782123619047,-0.498302339467375,0.13075988466521,0.931304,1,1
SBS21,0.496760508947039,-0.297015718770591,0.133818192237528,0.932632,1,1
SBS10b,0.499500875479553,0.103227425759624,0.139352277020957,0.936357,1,1
SBS34,0.506450988303068,-0.163395085280393,0.151812905872113,0.945123,1,1
SBS92,0.508368455868267,-0.326608554678417,0.154130058652029,0.947298,1,1
SBS42,0.508626311059378,-0.308251977864193,0.148640127739114,0.947604,1,1
SBS46,0.514531867402263,-0.35262581572381,0.141645196566471,0.953977,1,1
SBS16,0.516262685718543,-0.294658114998203,0.160450026299007,0.955746,1,1
SBS14,0.535384590683956,-0.283674060867868,0.147333407051309,0.971823,1,1
SBS44,0.539743541703746,-0.158462634906126,0.138415051553536,0.974688,1,1
