SBS,JS,r_pearson,RMSD,p_rand,FDR,FDR_BH
SBS49,0.0995343904848812,0.768448392707343,0.0593049725165606,0.00075,0.0421890235753565,0.0645
SBS52,0.11113704441001,0.868003349504859,0.0692560922853202,0.001537,0.043229686156882,0.066091
SBS48,0.129935525559237,0.84736925338246,0.0490593303591369,0.003965,0.0743464348783505,0.0959072
SBS25,0.133630992274989,0.678617136238665,0.0746809411710183,0.004649,0.0653789235339441,0.0959072
SBS93,0.137601362007853,0.7560673233454,0.0710310958737679,0.005576,0.0627322654549834,0.0959072
SBS60,0.145778923098216,0.532442979229851,0.0770231220734332,0.007896,0.0740276733668922,0.113176
SBS37,0.154179586007698,0.515541228913377,0.0802498552038609,0.011021,0.0885648054902865,0.120658
SBS86,0.154681665351656,0.697757423929037,0.0673650955410291,0.011224,0.0789216001016336,0.120658
SBS94,0.159699820950306,0.453238672694434,0.0821209042015105,0.013441,0.0840092838335358,0.125739818181818
SBS96,0.164028067744443,0.455171496791855,0.0824062951799103,0.015767,0.0886925779616861,0.125739818181818
SBS29,0.164596949080883,0.55532556804603,0.0757525905934519,0.016083,0.0822455837772677,0.125739818181818
SBS26,0.168664357674147,0.357455717169691,0.0851363575890692,0.018434,0.0864124956209024,0.131477875
SBS6,0.176197174239288,0.380141716074346,0.0871818209417213,0.023533,0.101829158133217,0.131477875
SBS10c,0.176648738028244,0.362982939289903,0.0849415858781638,0.02386,0.0958695335721911,0.131477875
SBS14,0.177160374458824,0.653326555193944,0.0688976378090808,0.024247,0.0909295337450373,0.131477875
SBS18,0.177444388046752,0.239909863885627,0.0884480478560642,0.024461,0.0859988088063996,0.131477875
SBS45,0.183838759062979,0.647843337664377,0.0700485633470137,0.029502,0.0976204371388367,0.149245411764706
SBS57,0.206743577967456,0.176408738058407,0.096048994761187,0.054299,0.169690503045799,0.251775238095238
SBS36,0.210799970120035,0.0654850577209625,0.0930760487250209,0.059856,0.177211662815897,0.251775238095238
SBS39,0.211849114337587,-0.00583400960877203,0.0955990036297448,0.061356,0.172569982032638,0.251775238095238
SBS1,0.21192314049398,0.772081940169954,0.0747142683371069,0.06148,0.164684518692884,0.251775238095238
SBS53,0.215270980246273,0.0574875439777871,0.0956779785987562,0.066385,0.169740504851518,0.259505
SBS38,0.222241280917894,0.00508315260861605,0.0949373253340034,0.077462,0.189451950388073,0.28964052173913
SBS87,0.226301309187095,0.49951127044356,0.109583605059006,0.084406,0.197833706883419,0.302454833333333
SBS9,0.23489877059592,-0.300041092513061,0.0995753201287543,0.100468,0.226061163763676,0.34560992
SBS56,0.239526611561245,0.226234640254103,0.119042043939018,0.109726,0.237396553888696,0.355199111111111
SBS33,0.240346666314164,0.0265804220582411,0.0992545348079295,0.111516,0.23233339027306,0.355199111111111
SBS5,0.252931792109728,-0.48312902726913,0.102854496639976,0.140017,0.281294310188128,0.4013754375
SBS22b,0.252960633620965,-0.190749721088685,0.100716519357408,0.140092,0.271739985780177,0.4013754375
SBS28,0.253598183354623,0.446312060074449,0.0835553218186981,0.14168,0.265659593784734,0.4013754375
SBS20,0.255784103294528,0.0228290921333274,0.106407366215293,0.147007,0.266756205967416,0.4013754375
SBS27,0.256729848957489,-0.189961070662457,0.103421119430227,0.149349,0.262537020081497,0.4013754375
SBS88,0.264436563897414,0.72063738192228,0.073922642625539,0.169479,0.288895091980923,0.438356742857143
SBS98,0.26725802076559,0.333584751642003,0.125527907298393,0.177166,0.293116100029475,0.438356742857143
SBS59,0.267701921346776,0.257279831260923,0.093167332842393,0.178401,0.286726247423511,0.438356742857143
SBS32,0.271182523182811,0.00684150493682058,0.108325572913065,0.18821,0.294088745448809,0.442335189189189
SBS92,0.271901241563304,-0.23610580355832,0.104794744630808,0.190307,0.28932852286686,0.442335189189189
SBS41,0.273944791831669,-0.273084174272707,0.106475101322127,0.196264,0.290532860455922,0.443036341463415
SBS89,0.277852208893171,0.0731577968433475,0.111805621449712,0.207984,0.299987756557161,0.443036341463415
SBS46,0.278062548903221,-0.192451703379339,0.107166929316247,0.208603,0.29335856282967,0.443036341463415
SBS95,0.278953043557366,-0.165684118991807,0.111433914379206,0.211215,0.289787141933949,0.443036341463415
SBS17b,0.28119817703048,0.0364904732415867,0.111811348411418,0.218082,0.292084655217806,0.446548857142857
