SBS,JS,r_pearson,RMSD,p_rand,FDR,FDR_BH
SBS5,0.154961351094927,0.550591618217158,0.080198601904417,0.01134,0.690486480275757,0.290485368421053
SBS19,0.160203160056689,0.583384253324209,0.0757329706833979,0.013694,0.41691013496015,0.290485368421053
SBS45,0.161275666829203,0.407503847205003,0.0868116913953998,0.014214,0.288494263099342,0.290485368421053
SBS52,0.170843121557075,0.328455497822235,0.0859558475274258,0.019808,0.301524607612482,0.290485368421053
SBS37,0.180949089288847,0.349405145134802,0.0854823151438531,0.02713,0.330386211814485,0.290485368421053
SBS36,0.187212728425887,0.280356973609024,0.0876434796876981,0.032513,0.329949837348702,0.290485368421053
SBS95,0.190466456551478,0.181075794920267,0.0909368539245738,0.035677,0.310336182373371,0.290485368421053
SBS92,0.192461596668678,0.189971579602567,0.0902150878816892,0.037711,0.287025304868596,0.290485368421053
SBS30,0.199090086866817,0.26945592699404,0.0886567633199305,0.044972,0.304257867832268,0.290485368421053
SBS4,0.199110732403363,0.175369389948048,0.0970491625771151,0.044995,0.273972126807828,0.290485368421053
SBS16,0.20075754298851,0.291102644982542,0.0936641214734641,0.046881,0.25950534457117,0.290485368421053
SBS48,0.202735009981671,0.384967410677469,0.0878690057369139,0.049258,0.249941086459606,0.290485368421053
SBS54,0.203989730252177,0.3367565417618,0.0976305354614005,0.050773,0.237810813071774,0.290485368421053
SBS96,0.20454777199227,0.175914162621442,0.0942124147969137,0.051486,0.223925339654054,0.290485368421053
SBS98,0.207135311854949,0.151028418724277,0.0918760230992449,0.054811,0.222494147386211,0.290485368421053
SBS39,0.209864039188355,0.0478921231746997,0.0929144060350875,0.05854,0.222779313025478,0.290485368421053
SBS8,0.213079876022214,-0.0211761106026425,0.0948995431741757,0.063214,0.226415667414419,0.290485368421053
SBS29,0.21319447364107,0.149612488520347,0.0932456278574364,0.063374,0.214378258872211,0.290485368421053
SBS89,0.213758056988253,0.133579049048904,0.104586139179363,0.064177,0.205668573492329,0.290485368421053
SBS12,0.217087012492639,0.0115600789812988,0.0983082642438673,0.069166,0.210574020699969,0.293952095238095
SBS24,0.218778868445431,-0.11013737063848,0.0988201040480373,0.071779,0.208123074946307,0.293952095238095
SBS40a,0.221135023605312,0.0331752992660322,0.096629876515861,0.07567,0.209432066548286,0.295800909090909
SBS53,0.225121733742918,-0.161002676865608,0.0968044473979112,0.082367,0.218055746955269,0.306206583333333
SBS3,0.226929019752443,-0.111695069662704,0.0972742746801155,0.085453,0.216799460607746,0.306206583333333
SBS42,0.231163827078877,0.0351625661212385,0.100634501755515,0.093205,0.227008086046215,0.319675230769231
SBS59,0.232927421454976,0.143934514318396,0.0938970654891929,0.096646,0.22633549169967,0.319675230769231
SBS31,0.235141941285232,-0.00635945000723413,0.108853123918805,0.100944,0.227645395731125,0.321525333333333
SBS38,0.240311345680227,-0.254856075455555,0.101253592667079,0.111433,0.242324829795189,0.3422585
