SBS,JS,r_pearson,RMSD,p_rand,FDR,FDR_BH
SBS40c,0.129264844635703,0.619358139737302,0.0730827009900313,0.003835,0.179996635031086,0.1131846
SBS4,0.135278679974586,0.525725865706485,0.0782276973537709,0.004996,0.117244222766011,0.1131846
SBS42,0.135655189013268,0.569844905066992,0.0755017099052313,0.005085,0.0795552272171292,0.1131846
SBS89,0.142104776058075,0.602575354308026,0.0739059410026957,0.006795,0.0797312343569901,0.1131846
SBS5,0.142166410559186,0.556935841531652,0.0760657421999412,0.006809,0.0639164061500216,0.1131846
SBS6,0.147389783572176,0.519887770434389,0.0777322291013788,0.008443,0.066045701415361,0.1131846
SBS14,0.157434605283788,0.477068237625359,0.0806697877198718,0.012369,0.0829345643024586,0.1131846
SBS96,0.157615730367654,0.46494624993149,0.0830146210754937,0.012455,0.0730722975655859,0.1131846
SBS54,0.158369677711186,0.656734778224368,0.0777181814742623,0.012809,0.066799272725284,0.1131846
SBS29,0.159148101347763,0.339127965606336,0.0857246996512591,0.013161,0.0617714658055833,0.1131846
SBS53,0.16628023874761,0.385842370984905,0.0841862045188837,0.017029,0.0726600141743359,0.123668
SBS56,0.168373296728099,0.531227826829234,0.0842021935258514,0.018223,0.0712750691041173,0.123668
SBS10d,0.169132622050625,0.470000538196217,0.0811683668204816,0.018694,0.0674928712319952,0.123668
SBS97,0.179511159526487,0.352444740589461,0.0851749369103718,0.025977,0.0870883328031759,0.141195619047619
SBS45,0.180270697210734,0.324532283505672,0.0863368241808206,0.026574,0.0831504663940213,0.141195619047619
SBS98,0.181829868879483,0.376736022569961,0.0850317763387406,0.027838,0.0816614459907981,0.141195619047619
SBS27,0.183221537067155,0.38431447661146,0.0840379026151215,0.028983,0.0800190577974685,0.141195619047619
SBS26,0.185986384227325,0.342122507722823,0.0855052884283658,0.031383,0.0818315862259969,0.141195619047619
SBS31,0.186663382347718,0.196909584608591,0.0915403634089874,0.032009,0.0790710531902838,0.141195619047619
SBS39,0.187545691035513,0.221549313124517,0.0887352128798252,0.03284,0.0770676596404284,0.141195619047619
SBS36,0.189205232200539,0.303000558588019,0.0868579919215525,0.034478,0.0770587195952291,0.141195619047619
SBS25,0.195785851267344,0.344117738676503,0.0855319243649791,0.041277,0.0880611722671344,0.161355545454545
SBS10c,0.199209306454283,0.169946429115827,0.0897675179647735,0.045114,0.092062447625332,0.168687130434783
SBS12,0.203885360526973,0.170813680865421,0.0898367435262465,0.050644,0.0990411732346188,0.179895461538462
SBS59,0.205488762983227,0.16381714963409,0.102027799798064,0.05269,0.0989207061255584,0.179895461538462
SBS35,0.206808795356273,0.0957067308106393,0.0973012981328521,0.054387,0.0981794904165647,0.179895461538462
SBS3,0.208576104160311,0.0434677051855546,0.0926267504661554,0.05675,0.0986509154282111,0.180440285714286
SBS19,0.210013537502074,0.391390904944154,0.0843333571412372,0.058748,0.098476832881414,0.180440285714286
SBS38,0.212538655831792,-0.150578655570854,0.0948036714484748,0.062404,0.100998156835678,0.185060137931034
SBS22a,0.215786252725992,0.433749756371892,0.12555398747288,0.067169,0.105086431798375,0.192551133333333
SBS49,0.221207237488497,0.169223925145991,0.099780549433114,0.075783,0.114738486710357,0.196616918918919
SBS40b,0.222107205063284,0.16350017719467,0.0926566404178614,0.07723,0.113275261762148,0.196616918918919
SBS92,0.223709090946509,0.374597669242108,0.0930973882186828,0.079972,0.113742569607728,0.196616918918919
SBS11,0.225159775938289,0.0330461872197172,0.101701623221608,0.082426,0.113784819687647,0.196616918918919
SBS24,0.225383437817653,-0.120198178955846,0.0986575467210292,0.082804,0.111040725402228,0.196616918918919
SBS52,0.225852365012634,0.0552321777044783,0.0950730345206746,0.083634,0.109038378778718,0.196616918918919
SBS40a,0.226403236835442,0.128119945030105,0.0974732650317226,0.084591,0.10730536913855,0.196616918918919
SBS20,0.228431772376638,0.288510581709791,0.0925805682681169,0.088148,0.108874928873397,0.199492842105263
SBS46,0.233333261524131,-0.121936452640358,0.100986442153322,0.097371,0.117182845917239,0.214715538461538
SBS8,0.23498898055645,0.199146155645317,0.0965376081117955,0.100647,0.11809727070387,0.21639105
SBS23,0.238484000491088,0.321985746959639,0.0937293490175933,0.107605,0.123182102664928,0.225708048780488
SBS9,0.244008508923643,-0.101903798610155,0.102543239467853,0.119318,0.133338539136022,0.233522488888889
SBS18,0.244423214056066,-0.215776281907526,0.103593205054874,0.120178,0.13117634762297,0.233522488888889
SBS91,0.244446240868068,0.156695594084627,0.107055722932951,0.120228,0.128248402492103,0.233522488888889
SBS95,0.245321593521173,-0.124977758049214,0.10619342890476,0.122192,0.127446900348941,0.233522488888889
SBS86,0.264312817646774,-0.0817446199484621,0.103465963888309,0.169131,0.172569643894578,0.315940212765957
SBS30,0.265606961587199,-0.233375713021746,0.1077092743085,0.172665,0.172427079739479,0.315940212765957
