SBS,JS,r_pearson,RMSD,p_rand,FDR,FDR_BH
SBS96,0.124415738233048,0.606105853202798,0.0723834951661629,0.003082,0.192340228840179,0.218497333333333
SBS8,0.144615183123495,0.578196709052017,0.0743248181363617,0.007551,0.235619900709311,0.218497333333333
SBS48,0.144830337797492,0.511357972439792,0.0800942725973373,0.007622,0.158556913716185,0.218497333333333
SBS1,0.178984005457334,0.357423674272141,0.095991543923575,0.025564,0.398846983295777,0.4153456
SBS45,0.183647808792062,0.490894901302465,0.0793738040395006,0.029328,0.366058029294274,0.4153456
SBS53,0.193208208837407,0.192910142559806,0.0902623149742082,0.038472,0.400157542934207,0.4153456
SBS36,0.196654231741637,0.0976331490197274,0.094394192971434,0.042239,0.376576384814143,0.4153456
SBS35,0.198643622468639,0.219151594680758,0.0898968804796616,0.044441,0.346682029116093,0.4153456
SBS31,0.207078160510552,0.184766561144647,0.0949187015146267,0.054738,0.379563034330295,0.4153456
SBS40c,0.210752915927064,0.168023242879514,0.0936217998366503,0.059779,0.373066402979788,0.4153456
SBS46,0.214166970741106,0.315215330519879,0.0879982057828057,0.064782,0.367535387432142,0.4153456
SBS39,0.215640652173966,-0.00787047621169214,0.0943394101426357,0.066941,0.348135606175384,0.4153456
SBS5,0.216914396371,0.118797062149792,0.0947307751834954,0.068909,0.33080349496201,0.4153456
SBS4,0.217310056007201,0.225868444114916,0.104507697667757,0.069525,0.309920608373817,0.4153456
SBS19,0.219167694544753,0.0322178826616972,0.0986365042559712,0.072444,0.301403753798354,0.4153456
SBS24,0.225473385660913,-0.0236080998051659,0.0988889282070754,0.082963,0.323595116914093,0.445926125
SBS94,0.230752638535043,-0.0329511947540588,0.0973907955904455,0.092472,0.339467985672196,0.467799529411765
SBS32,0.234752156031653,0.216047033380951,0.100113044855344,0.100173,0.347308705451136,0.47187856
SBS52,0.239837595241313,-0.100467199798564,0.0988661539526185,0.110371,0.362525759030694,0.47187856
SBS3,0.243069284605236,-0.109522794101337,0.0991259162713372,0.117263,0.365905130669791,0.47187856
SBS98,0.247057018751033,-0.0226335468550365,0.099888302155404,0.126111,0.374775479732762,0.47187856
SBS92,0.247310998451951,0.0274509376898406,0.103812423344028,0.126692,0.359388358684148,0.47187856
SBS49,0.247931219424727,-0.0512397386697771,0.102921535398964,0.128153,0.347727017274997,0.47187856
SBS97,0.251724301423797,0.0246032462249013,0.0979344610748357,0.137048,0.356368208983464,0.47187856
SBS12,0.251768848048335,-0.0484544657368592,0.103386426543015,0.137174,0.342428014937348,0.47187856
SBS95,0.258701529171984,-0.133475108151383,0.108369121450351,0.154287,0.370333910136583,0.473108193548387
SBS38,0.260126234358467,-0.104879808123547,0.106171021420732,0.157976,0.365144566914895,0.473108193548387
SBS7b,0.263069685115443,0.00917055396679177,0.0991244802133126,0.165829,0.369606792995481,0.473108193548387
SBS51,0.263479300457373,0.294765664696438,0.141371035153865,0.166924,0.359218156133702,0.473108193548387
SBS37,0.264189488982318,-0.0465375702664403,0.100244313877481,0.168791,0.351128050683135,0.473108193548387
SBS59,0.264830045537593,-0.167174237604143,0.111566174677923,0.170539,0.343320322854611,0.473108193548387
SBS22b,0.269920113820237,0.0438518520524516,0.105951650064773,0.184686,0.360181573486953,0.496343625
SBS40a,0.278362782560724,-0.0664265404223681,0.110257464804219,0.209494,0.396182367811579,0.531201764705882
SBS7a,0.278539100047838,0.0895071263454696,0.107898668763662,0.21001,0.385477072362541,0.531201764705882
SBS11,0.28164479695432,0.275776989719361,0.0934182567326276,0.219449,0.391293880400004,0.539217542857143
SBS26,0.28911691935891,-0.250915421949898,0.111760839747997,0.243183,0.421568550995397,0.567488432432432
SBS87,0.28940945572753,-0.0699553326670715,0.107406604741373,0.244152,0.41180921086507,0.567488432432432
SBS7d,0.291932956546223,0.445502246381332,0.102435142861092,0.252457,0.414611471979107,0.571350052631579
SBS25,0.294164557741705,0.208957937990267,0.0977107164445733,0.259872,0.415845853917328,0.573051076923077
SBS29,0.298050344695873,-0.0659937868536779,0.109238406657854,0.273041,0.425995850281889,0.584592341463415
SBS16,0.299660446622268,-0.0450645144778303,0.111399518722901,0.278701,0.424221000917892,0.584592341463415
SBS18,0.30516621631432,-0.0868598523654848,0.110765648741476,0.298227,0.443134092165879,0.599974
SBS85,0.305658851682351,0.0617327609671799,0.112369731655207,0.299987,0.435383005818321,0.599974
SBS33,0.308076757622234,-0.0740749805041146,0.128010824249713,0.308866,0.438081507882652,0.603692636363636
SBS22a,0.313364303063601,0.144298460664966,0.114886239054362,0.328373,0.455399365238561,0.627557288888889
SBS40b,0.319496528869577,-0.167429937734566,0.1175570925189,0.351834,0.477328612658039,0.657776608695652
SBS2,0.322324882428724,-0.0779228785414641,0.11675803525052,0.362746,0.481661870924238,0.663748
SBS55,0.326469467884627,0.357017198086307,0.120330815101355,0.379134,0.492934244004789,0.67928175
SBS42,0.33873790406506,-0.0889923180937683,0.124060958968113,0.429071,0.546475349486051,0.753063387755102
SBS89,0.346690761898854,-0.0377585415573222,0.138215648179277,0.462288,0.577005708696098,0.786328352941176
SBS91,0.347642493286378,0.0420378966746879,0.140361280492845,0.466311,0.570614729744453,0.786328352941176
SBS34,0.361059749359527,0.124899732844238,0.126520210157022,0.52284,0.627484433477257,0.864696923076923
SBS86,0.364583469834199,-0.130458035165514,0.117944504469367,0.537519,0.632929655246802,0.872200641509434
SBS27,0.382594339361375,-0.112938633588681,0.134758740158284,0.612444,0.707799283244373,0.970649163636364
SBS6,0.384643594720217,-0.349475435402322,0.124998912757804,0.620764,0.704370773498583,0.970649163636364
SBS43,0.393320922329977,-0.00328918943768706,0.138923257826397,0.655201,0.730170055832913,1
SBS9,0.39532640651456,-0.253714039418124,0.12937933496893,0.663155,0.726068652484197,1
SBS14,0.41111747387008,-0.114798522356259,0.154638456637254,0.721949,0.776812167820595,1
SBS58,0.413713284893668,-0.171559224926309,0.128640670366508,0.731042,0.773264034865001,1
SBS84,0.425237256404888,-0.228143359110085,0.137200543571962,0.770155,0.801058776456889,1
SBS21,0.425572790424835,-0.181515438078598,0.154179266684287,0.771286,0.789083763689888,1
SBS93,0.450429225828254,-0.239058052851377,0.141237849573704,0.843261,0.848804785916132,1
SBS13,0.464692630339221,-0.013611475009221,0.139884814265123,0.876657,0.86841366662724,1
SBS10d,0.465680769235555,-0.231552698029925,0.148617720378215,0.878742,0.856877825739559,1
SBS7c,0.466200476338773,-0.362790197132956,0.132574969910462,0.879831,0.844740657318841,1
SBS54,0.480741015809414,-0.0478936652059322,0.161339540077147,0.907611,0.858209483402472,1
SBS60,0.486044668925147,-0.00318057619069612,0.20147560959169,0.916597,0.853770456934446,1
SBS50,0.487006409588562,-0.136307610110766,0.150101604236418,0.91808,0.842576045413556,1
SBS10c,0.511544600237258,-0.321923616417612,0.150000660309322,0.95087,0.860021976117809,1
SBS23,0.512722149656061,-0.190594851970625,0.139758318936784,0.952135,0.84886374240634,1
SBS15,0.521924694400859,-0.270591286973592,0.164352586149768,0.961166,0.844845986205223,1
SBS17a,0.55295239293263,-0.22803468282309,0.162176505987811,0.98206,0.851222353516774,1
SBS30,0.561916305492033,-0.188185779819575,0.201198691054,0.985954,0.842890748694984,1
SBS41,0.56230589869797,-0.287677118542436,0.167888227145199,0.986104,0.831626835067681,1
SBS47,0.584080165511609,-0.23483009299364,0.175694198627425,0.992587,0.825932990368967,1
SBS88,0.599525267911023,-0.281803143181767,0.178109540325831,0.995462,0.817426264907025,1
SBS20,0.60913588629042,-0.258713918176691,0.151500765063626,0.996711,0.807822639319735,1
SBS28,0.616613223624327,-0.249811650067495,0.197058763939137,0.997432,0.798042809083834,1
SBS17b,0.636095375187332,-0.356571920646771,0.164842328928495,0.998716,0.788955322396061,1
SBS10a,0.642814625605357,-0.251087514741364,0.180497072709565,0.999024,0.779333650133156,1
SBS90,0.657389127021352,-0.292348659154071,0.16376329163489,0.99944,0.770032760160664,1
SBS44,0.65829248711924,-0.296798198657434,0.169301563127827,0.999459,0.760656577042055,1
SBS57,0.659876660553585,-0.205692837923794,0.230309238422471,0.999485,0.751511589338507,1
SBS10b,0.762095128643243,-0.242078618573541,0.229760987791589,0.999997,0.74294541199087,1
SBS56,0.775768965040748,-0.271403635305541,0.200235155227968,0.999999,0.734206346146315,1
SBS99,0.851391188394227,-0.300882345660151,0.199430385904048,1,0.725669788721379,1
