SBS,JS,r_pearson,RMSD,p_rand,FDR,FDR_BH
SBS42,0.0604820621782051,0.693978532843998,0.0459729299275651,0.000182,0.0114616858850215,0.013889
SBS35,0.0658365394159061,0.762202838400395,0.0409324099022319,0.000323,0.0101706718155548,0.013889
SBS40c,0.0764059027281724,0.725334112071097,0.0382639152075973,0.000881,0.0184940389463443,0.0252553333333333
SBS31,0.110772921815283,0.598008489447763,0.0497905337459414,0.00914,0.143900836523485,0.148474222222222
SBS3,0.111318007718547,0.461993298204928,0.0514629471098019,0.009383,0.118181317207865,0.148474222222222
SBS8,0.115991045449739,0.410005969432871,0.0523725854398827,0.011909,0.124997451652675,0.148474222222222
SBS4,0.119856774928696,0.481438533751146,0.0492237840695777,0.014365,0.129236356152539,0.148474222222222
SBS95,0.120280714450198,0.419979766845908,0.051221794193625,0.014684,0.115592991439324,0.148474222222222
SBS26,0.121468865519204,0.634822494746203,0.0703214281224855,0.015538,0.108725076484411,0.148474222222222
SBS25,0.126060967558437,0.399805790384975,0.0563744779831477,0.019224,0.121065631567942,0.1653264
SBS29,0.129681749714125,0.329110093326652,0.0542606981430179,0.022659,0.129725444789562,0.177152181818182
SBS5,0.134937311452144,0.235525711441083,0.0561417263813644,0.028177,0.147873591200665,0.186547230769231
SBS84,0.134954073503138,0.62520406776351,0.0521843195499865,0.028199,0.136605274840119,0.186547230769231
SBS92,0.139253909017539,0.277431806277667,0.054821901912502,0.03351,0.15073826295411,0.189420375
SBS14,0.140197060397952,0.739681070575725,0.069304368880212,0.034817,0.146176380021536,0.189420375
SBS22b,0.140497884070587,0.286968481145823,0.0563733935342889,0.035241,0.138709228116086,0.189420375
SBS86,0.142771025697336,0.285356611982899,0.0599001913139914,0.038361,0.142107864329448,0.194061529411765
SBS39,0.14447991208448,0.186512490592422,0.0556101476694086,0.04086,0.142956192082411,0.19522
SBS97,0.154781612875554,0.197311992681894,0.0610744618066453,0.058164,0.192787014984497,0.2535409
