SBS,JS,r_pearson,RMSD,p_rand,FDR,FDR_BH
SBS35,0.0677734522083137,0.68222591364187,0.0458821342931292,0.000395,0.019140962221247,0.03397
SBS24,0.0827683079965422,0.720846794130807,0.0406740527530578,0.001493,0.0361739956915466,0.0406178
SBS97,0.0845472830317866,0.644667370417612,0.0424758854769206,0.00174,0.0281057166792995,0.0406178
SBS10d,0.0878504053079781,0.601384689270871,0.0469349468274581,0.002249,0.0272455848326485,0.0406178
SBS40b,0.0906807099139711,0.636336106223153,0.0463733918122188,0.002731,0.0264678318107472,0.0406178
SBS94,0.0941990937634264,0.598371307530309,0.0457217914008767,0.003487,0.0281622511668728,0.0406178
SBS40c,0.0952779015224003,0.634208162892726,0.0433756272773171,0.003755,0.0259943266331945,0.0406178
SBS5,0.0980744872901544,0.55529880235052,0.0462199743772843,0.004495,0.0272274130330714,0.0406178
SBS3,0.0983449458004564,0.549715621363888,0.0469891028504221,0.004581,0.0246651892926956,0.0406178
SBS59,0.0988747596687731,0.577749566328733,0.0458324651696235,0.004723,0.0228867758407468,0.0406178
SBS91,0.102437067128961,0.490902372959298,0.0500717333283725,0.00581,0.0255947043740956,0.0454236363636364
SBS39,0.106944506984503,0.522200010447806,0.0473967757152818,0.0075,0.0302863326285555,0.05375
SBS29,0.109466723652683,0.691696248012806,0.0423314074407826,0.008573,0.0319562744153361,0.0567136923076923
SBS10c,0.115280833805498,0.407206202989239,0.0530260581267934,0.011525,0.0398914266907545,0.0707964285714286
SBS42,0.119256339230944,0.699629591001164,0.0528463409731964,0.013973,0.0451403654206726,0.0801118666666667
SBS9,0.123308570692446,0.449522142582218,0.0565429188318085,0.016946,0.0513232192723501,0.09108475
SBS8,0.128001940198579,0.567510032688871,0.0491469987004902,0.021039,0.0599712143220874,0.106432588235294
SBS4,0.130003055379602,0.394278257580087,0.0513216915004839,0.022951,0.061786810680709,0.109654777777778
SBS86,0.134999908830164,0.450063353326344,0.0576265613844998,0.02825,0.0720495913058267,0.122410761904762
SBS48,0.135799292901738,0.365122679888753,0.0650618217112285,0.029134,0.0705889611840268,0.122410761904762
SBS18,0.136423951950198,0.416497221441435,0.0521811987230171,0.029891,0.0689743823695353,0.122410761904762
SBS16,0.13870122144241,0.425511435136006,0.0798855482835426,0.032776,0.0721938064169843,0.128124363636364
SBS12,0.140028826620207,0.388083993792012,0.059447868955947,0.034578,0.0728515345829698,0.129291652173913
SBS22b,0.141520202641595,0.281545535293431,0.0583714957800515,0.036619,0.0739370143016715,0.131218083333333
SBS31,0.143185311226601,0.27723125365936,0.0619181746635554,0.038969,0.0755345981569394,0.131353851851852
SBS19,0.143920397642159,0.3916997817933,0.0540206928875481,0.040006,0.0745621552700301,0.131353851851852
SBS14,0.144728820955819,0.569555679907172,0.0607094260726431,0.041239,0.0740135153344592,0.131353851851852
SBS40a,0.14623266710012,0.296472478122133,0.0617459093567444,0.043516,0.0753108600379554,0.132012965517241
SBS95,0.146869292346834,0.251202114823839,0.0567026634357671,0.044516,0.0743849039058083,0.132012965517241
SBS7b,0.151603651265334,0.465665293505122,0.0540822920348433,0.052275,0.0844382953684126,0.147526064516129
SBS30,0.152114123234187,0.341134247159606,0.0598430282705024,0.053178,0.0831260178849715,0.147526064516129
SBS49,0.153314576959174,0.257093375939767,0.0588578471197688,0.055413,0.0839128274973072,0.1489224375
SBS52,0.154283613344657,0.115312478529134,0.0577927549538047,0.057211,0.084010248533929,0.149095333333333
SBS7a,0.159805020417999,0.428181176524335,0.0654112775899667,0.068215,0.0972226908356193,0.172543823529412
SBS26,0.161281144493156,0.25255441616214,0.0717357466350813,0.07137,0.0988130541577144,0.175366285714286
SBS89,0.170017720129244,0.204275342764908,0.0616575767433638,0.09212,0.123998976077446,0.216471052631579
SBS36,0.170519878550105,0.228129697793949,0.0730725620812049,0.093411,0.122338448309881,0.216471052631579
SBS93,0.1713802630496,0.227333228808677,0.0719018853252339,0.09565,0.12197421961774,0.216471052631579
SBS47,0.178687678639456,0.259996386587113,0.0636730042950339,0.116039,0.14418033853887,0.24958275
SBS7c,0.178703571444449,0.43410893406438,0.0877750973415786,0.116085,0.140631556927434,0.24958275
SBS38,0.180031065437445,0.0255960905222425,0.0635704082021141,0.119946,0.141764856720574,0.251594048780488
SBS45,0.184943604953875,0.0921662046514908,0.0675515274476804,0.134986,0.155742129378979,0.276399904761905
SBS11,0.196092219731022,0.239662421146252,0.0718696937472419,0.173007,0.194967350663014,0.345716090909091
SBS21,0.197171902675448,0.291961900750548,0.0754014713316715,0.176878,0.194799488824496,0.345716090909091
SBS88,0.204043502301591,0.450138257327659,0.0668909222458086,0.203238,0.218856308293773,0.3884104
SBS90,0.205226027707433,0.153441299368293,0.0755562696439073,0.208031,0.219147689149601,0.38892752173913
SBS27,0.207641245305405,0.152749105278861,0.0720074681011358,0.2178,0.224557046689341,0.398527659574468
SBS46,0.210011037492124,0.254963647455598,0.0764962091057162,0.227539,0.229710727998963,0.405639183673469
SBS2,0.210895303926119,0.354126978833935,0.107015850527814,0.23112,0.228564153375077,0.405639183673469
SBS84,0.222347550049608,0.451472649872351,0.0957443908326736,0.280531,0.271880165715881,0.48251332
SBS51,0.241009228046851,-0.129599982590389,0.068194990477251,0.367906,0.349569364456198,0.61966662962963
SBS15,0.243845957402038,0.109183713592129,0.0867137417669195,0.381708,0.355708783230174,0.61966662962963
SBS32,0.244248028978277,-0.133745892755487,0.0728130664353646,0.383613,0.350739046600394,0.61966662962963
SBS92,0.245377104800727,0.0961631756829424,0.0953007965728912,0.389093,0.349161482116816,0.61966662962963
