SBS,JS,r_pearson,RMSD,p_rand,FDR,FDR_BH
SBS23,0.0510686957329522,0.825231343289246,0.0338460435717644,5.9e-05,0.00406864639059507,0.005074
SBS11,0.0719384019757808,0.679405505147435,0.0456949890308396,0.00059,0.0203432319529754,0.02537
SBS3,0.0796559842169845,0.697972297809478,0.0397919367497024,0.001156,0.0265726284041125,0.0331386666666667
SBS40c,0.0885418766840701,0.712279145660681,0.0411079379433616,0.002356,0.0406175037976356,0.0500692
SBS42,0.0914832169264755,0.562348144116533,0.0608137147905768,0.002911,0.0401485750610924,0.0500692
SBS19,0.10191776999171,0.689951902076682,0.0504428307442413,0.005625,0.0646501015454726,0.0710933333333333
SBS9,0.105246840080642,0.74132812301383,0.0429691815977618,0.006839,0.0673740258239218,0.0710933333333333
SBS92,0.105290242829912,0.597569286499693,0.0446811163919812,0.006854,0.0590815727990226,0.0710933333333333
SBS4,0.106824061883876,0.584942881970575,0.0473795323385633,0.00744,0.0570070228738745,0.0710933333333333
SBS40a,0.11873871947373,0.403996857635615,0.0511578949629759,0.013648,0.0941167558285451,0.116592545454545
SBS35,0.120581480334841,0.712517924696818,0.0756685120834255,0.014913,0.0934910995731038,0.116592545454545
SBS16,0.125388633694859,0.516922722815507,0.056150498015386,0.018618,0.106991608050987,0.133429
SBS84,0.133886229773023,0.495481668989519,0.0635116777826873,0.026987,0.143155880238578,0.178529384615385
SBS10d,0.135966375482829,0.331055562058776,0.0599858380471875,0.029322,0.144432021144103,0.180120857142857
SBS5,0.138132476916953,0.297932911961587,0.0530442080281447,0.032035,0.147275804658433,0.183667333333333
SBS94,0.140976316411102,0.385682658659187,0.0513915770948982,0.03591,0.154772343099861,0.19301625
SBS10c,0.152324587242478,0.26756466141083,0.0544818380170191,0.053553,0.217236510623667,0.266786333333333
SBS22b,0.153557902075168,0.197180210272126,0.0559399699635304,0.055839,0.213925749345046,0.266786333333333
SBS95,0.156357378215764,0.269958206685866,0.0597599694654417,0.06114,0.22190636959945,0.276738947368421
SBS32,0.164322569619857,0.201542849894831,0.0682051709973921,0.078215,0.269685743593554,0.325415809523809
SBS31,0.164864233354308,0.67717569742449,0.0727987093562547,0.079462,0.260938482235243,0.325415809523809
SBS57,0.167500084042909,0.280487348576836,0.0597037430300676,0.08574,0.268756349406488,0.335165454545455
SBS38,0.180522164513804,0.037828572734299,0.0591649042029581,0.121475,0.364214311199364,0.454210869565217
SBS40b,0.183150721206893,0.010170100446334,0.0677268681664299,0.129335,0.371623150372609,0.463450416666667
SBS39,0.186651085262814,-0.0422945816160298,0.0613192869824969,0.140437,0.387382029258306,0.479651769230769
SBS30,0.188044705183343,0.127982699863768,0.0656486558283236,0.145011,0.384614394880432,0.479651769230769
SBS22a,0.190388121905407,0.406033484020839,0.0560026724976005,0.152896,0.390508322998383,0.487002074074074
SBS24,0.192159609549814,0.168965094013131,0.0728710839678592,0.158993,0.391577660762641,0.487930709677419
SBS36,0.1960053448033,-0.140794473277534,0.0623553303040615,0.172692,0.410650311212533,0.487930709677419
SBS89,0.196231823493724,0.0393989347813559,0.0799162979670487,0.173499,0.398816994419127,0.487930709677419
SBS7b,0.196896090769719,0.545483084779673,0.0640434168443775,0.175882,0.391252960344802,0.487930709677419
SBS8,0.201209052824456,0.468724616436267,0.0608445730432487,0.192164,0.41411407044614,0.51644075
SBS26,0.208416699616725,-0.172872426483434,0.0656973948426836,0.220925,0.461667028167549,0.566370705882353
SBS37,0.209148128588681,-0.141885489870871,0.0634334039238089,0.223914,0.454150990978916,0.566370705882353
SBS27,0.213157429043644,-0.172366643350704,0.067646271550248,0.240506,0.473866280298527,0.5909576
SBS59,0.218900465655055,0.113441578994558,0.0662621944619869,0.265387,0.508364340706617,0.633980055555555
