SBS,JS,r_pearson,RMSD,p_rand,FDR,FDR_BH
SBS14,0.0648950611101533,0.768452059918675,0.0388798392508697,0.000293,0.0223871497055415,0.025198
SBS8,0.113327303414937,0.643082520251673,0.0441249959288009,0.010408,0.397620228899789,0.3578288
SBS59,0.120359776224301,0.569350540984647,0.0464545546788392,0.014748,0.375615112465673,0.3578288
SBS3,0.127601114987014,0.539712527909495,0.0475235103601717,0.02064,0.394258336111244,0.3578288
SBS53,0.12776300502511,0.510294465192775,0.0479135843072758,0.020804,0.317912807149547,0.3578288
SBS38,0.137743438605065,0.380417908173414,0.0514725747523472,0.031545,0.401707984904043,0.452145
SBS57,0.148460401707427,0.375170588665553,0.0643927022817344,0.046961,0.512590413126249,0.481023294117647
SBS17b,0.150642406022895,0.701348171846955,0.0808596188165389,0.050626,0.48352040997984,0.481023294117647
SBS40c,0.155829719703206,0.319754631122278,0.0551936197882335,0.060088,0.510124782520508,0.481023294117647
SBS30,0.158071432602674,0.327969224078299,0.0544901785230856,0.064577,0.49341125137705,0.481023294117647
SBS96,0.159767605240767,0.38057932514811,0.0542288443323555,0.068138,0.473290600879984,0.481023294117647
SBS97,0.165082333854457,0.218282036940205,0.0550053740723563,0.079986,0.509288554137499,0.481023294117647
SBS94,0.166009069006993,0.2972804223117,0.0563394628986406,0.082091,0.482484512070783,0.481023294117647
SBS40a,0.169309577283647,0.191401117293498,0.0586182387817552,0.090304,0.492844750611707,0.481023294117647
SBS26,0.169332043318416,0.102125386292491,0.0657677313056241,0.090368,0.46031443562921,0.481023294117647
SBS6,0.170047391371354,0.305355185212807,0.0785359680942289,0.092201,0.440298120733924,0.481023294117647
SBS93,0.171167126184003,0.290215147155316,0.0592719697733117,0.095086,0.427364889962081,0.481023294117647
SBS39,0.178703587396608,0.0883505392176544,0.0574322077341532,0.116085,0.49275924792715,0.534938105263158
SBS40b,0.179443522973987,0.188580386372814,0.0685149748198387,0.118184,0.475265475264904,0.534938105263158
SBS24,0.182651825155577,0.0982155653663974,0.0599754470170011,0.127844,0.488406615521374,0.5497292
SBS46,0.195649273511389,0.0014578577667241,0.0652840001740634,0.171385,0.623569259269338,0.633867777777778
SBS28,0.195837552448842,0.339598133810664,0.0938608625674424,0.172059,0.59756602407474,0.633867777777778
SBS37,0.195858415882162,-0.130058775391539,0.061924934163175,0.172137,0.571844010812109,0.633867777777778
SBS95,0.201727290966793,-0.0743245933745001,0.0639541726040982,0.194172,0.618168036493802,0.633867777777778
SBS87,0.201759423766634,0.040998824467501,0.06160707711548,0.194296,0.593820292039304,0.633867777777778
SBS13,0.201865733568872,0.346996374585932,0.0602591195562259,0.194716,0.572215311376244,0.633867777777778
SBS12,0.202979981957716,0.110815127436465,0.0636116002884332,0.199005,0.563159490222639,0.633867777777778
SBS36,0.207214972269737,-0.0994508851058059,0.0643536833228752,0.216065,0.58960013421841,0.663628214285714
SBS5,0.209419113625533,-0.283606372636686,0.0651317408434984,0.225056,0.592957792648035,0.667407448275862
SBS18,0.2118335857305,0.0292438022819895,0.0735421350373398,0.234973,0.598450025911287,0.668630580645161
SBS29,0.213275982237134,-0.181753338485686,0.0682488023316008,0.241018,0.594044483951361,0.668630580645161
SBS31,0.223547703754597,0.349001633914721,0.0641099675632021,0.285871,0.682576458348215,0.7682783125
SBS33,0.227559835812391,0.0774078002036839,0.07809304410528,0.304097,0.704091949943745,0.792495212121212
SBS86,0.232163644900751,-0.0181621861238319,0.068714701272912,0.325679,0.731883610615445,0.811283388888889
SBS98,0.234569444090386,-0.220182822360598,0.0680556651879809,0.337048,0.735791714671221,0.811283388888889
SBS17a,0.235119875293178,0.70052128867437,0.0975052745493825,0.339607,0.720784295605787,0.811283388888889
SBS11,0.238393377626885,0.0721035330640113,0.0698449820573618,0.355498,0.734119264460899,0.826292648648648
SBS48,0.252585970539181,0.0281828418295605,0.0750863493367294,0.424194,0.852927481784847,0.960018
SBS10d,0.256930187191005,0.136622933857771,0.0914732005339841,0.445379,0.872562032791143,0.963588048780488
SBS92,0.257696795174045,-0.512880582891762,0.0711025655301341,0.449083,0.857823238158167,0.963588048780488
SBS19,0.259797339848347,-0.274062195018683,0.0739682415947879,0.459385,0.856099289726147,0.963588048780488
SBS45,0.265920705746214,-0.156108058596166,0.0811192003497097,0.489411,0.890339454293742,0.970621409090909
SBS52,0.266600139286275,-0.536966249748236,0.0726939498329476,0.492688,0.875456783405338,0.970621409090909
SBS25,0.26740080091036,-0.167118207708221,0.0766251249030418,0.496597,0.862348074955229,0.970621409090909
SBS49,0.27119928588361,-0.191013271342537,0.0783834579646517,0.514934,0.874319647059031,0.984096088888889
SBS91,0.276040985174695,-0.13952848297916,0.095133475197042,0.538163,0.893896397609686,1
SBS7a,0.283822757255541,0.0351924006128651,0.0996074526891638,0.574594,0.934102236432063,1
SBS10c,0.285168369403654,0.16996816827599,0.123407649413791,0.580797,0.924515741434116,1
SBS7c,0.285812055693237,0.279331822172633,0.128422980359467,0.583787,0.910310438472451,1
SBS35,0.285930097580472,0.278499808123687,0.0879440582415732,0.584336,0.892943174767053,1
SBS4,0.294467142534925,-0.340889779172989,0.0805841409879714,0.623191,0.93364586844316,1
SBS50,0.299512968589021,-0.131986712183179,0.0932961113297038,0.645318,0.948203640960925,1
SBS89,0.311726103011923,-0.162105823133237,0.0834651379542367,0.695727,1,1
SBS20,0.311752512133321,0.164535434827164,0.103275908064441,0.69583,0.984556337985525,1
SBS16,0.314314493059998,-0.246101772058287,0.0852693736579934,0.705979,0.980754425191965,1
