SBS,JS,r_pearson,RMSD,p_rand,FDR,FDR_BH
SBS46,0.0731124563792618,0.845718099025741,0.0324526863265704,0.000663,0.0423183516739253,0.057018
SBS60,0.115938360255866,0.668267601716726,0.0451911098564206,0.011883,0.379237536154792,0.3278922
SBS38,0.124859772277082,0.623341448237917,0.0466370831725719,0.018175,0.386694842470384,0.3278922
SBS35,0.127729576553941,0.554454162815444,0.0473272630376217,0.02076,0.331270354732538,0.3278922
SBS94,0.133409370583583,0.506398537290985,0.0510384185915898,0.026484,0.338087247581369,0.3278922
SBS86,0.136929034152955,0.373060260638404,0.0547955083375583,0.030463,0.324068362755854,0.3278922
SBS9,0.137959082000953,0.420715338027352,0.0515328207035076,0.031821,0.290155627799177,0.3278922
SBS18,0.145898166048202,0.320264348129834,0.0546166450777448,0.043001,0.343086621480102,0.3278922
SBS31,0.147815999605793,0.258693215638077,0.0564491815412172,0.045943,0.325830740900813,0.3278922
SBS8,0.148893736674131,0.321035634314384,0.0599854855091648,0.047679,0.304328309119319,0.3278922
SBS37,0.151920141035908,0.210641064954705,0.0584326602204115,0.052798,0.306365601491829,0.3278922
SBS87,0.152110571194314,0.267483843767413,0.0576941178526325,0.053168,0.282803182729922,0.3278922
SBS39,0.155001076607516,0.171258101010362,0.0552783247197172,0.058558,0.287513404956691,0.3278922
SBS30,0.155611776437944,0.526997397016797,0.0596321602342393,0.059698,0.272174203644688,0.3278922
SBS24,0.158144305618199,0.117224101473756,0.0579364969152118,0.064711,0.275360769750767,0.3278922
SBS47,0.159604633711882,0.388009283200726,0.0661114358733025,0.067787,0.270421767055088,0.3278922
SBS85,0.159771136362966,0.337297106712022,0.070304763285491,0.068142,0.255847495321145,0.3278922
SBS3,0.161339390764562,0.204497075011581,0.0549070376208626,0.071486,0.253491678210342,0.3278922
SBS59,0.162575230126872,0.434666483557142,0.0599343152106868,0.074208,0.249294295548039,0.3278922
SBS97,0.163467379749754,0.105207935993091,0.0586823292854141,0.076254,0.243359244988198,0.3278922
SBS52,0.165607576806233,0.101677286001459,0.0592368927638385,0.08116,0.246682282687336,0.332369523809524
SBS50,0.182837151131824,0.375053235107623,0.0812183170276989,0.128412,0.372561646452221,0.501974181818182
SBS27,0.191549343074744,0.0375356152721218,0.0622506071123036,0.15692,0.435477457188823,0.568682962962963
SBS10c,0.19439031757785,-0.137905625520291,0.0603301307503773,0.166863,0.443776213886765,0.568682962962963
SBS12,0.196428633723781,-0.285780569597341,0.0631261132999923,0.174234,0.444844385252169,0.568682962962963
SBS95,0.197170818687385,-0.00540602529620929,0.0670743506895199,0.176874,0.434216042114739,0.568682962962963
SBS36,0.197627584998883,-0.110821319958818,0.0652848313175193,0.17854,0.422072426560674,0.568682962962963
SBS7a,0.202939701604731,0.289554724797137,0.0721344702285629,0.198861,0.453322006691902,0.610006896551724
