SBS,JS,r_pearson,RMSD,p_rand,FDR,FDR_BH
SBS6,0.115426462783609,0.663590731800689,0.0461484289110854,0.011606,0.993092233018841,0.76583
SBS26,0.124427701329683,0.549929953455751,0.0476405914316638,0.01781,0.761975386440874,0.76583
SBS38,0.138871172246308,0.55545791472206,0.0496983325395969,0.032997,0.941152978715685,0.945914
SBS95,0.146835587591798,0.42776832427683,0.0540522171364816,0.044458,0.951035983447175,0.955847
SBS59,0.159501096943108,0.629957368797236,0.0700492717404396,0.067541,1,1
SBS24,0.173570899795028,0.266805765384625,0.0565280391613292,0.101483,1,1
SBS40b,0.184125372624344,0.265297289733343,0.0656618847171843,0.132418,1,1
SBS15,0.186277524907138,0.416506274634553,0.0865075837323693,0.139218,1,1
SBS19,0.192692369003467,0.157699392350658,0.0611267678270043,0.160882,1,1
SBS39,0.193057254961301,-0.116210888164604,0.0616158163195645,0.162148,1,1
SBS40c,0.206748800739494,0.173038933792441,0.0610876052080625,0.214216,1,1
SBS5,0.20839940248504,0.0409197511576518,0.0639079588264031,0.220851,1,1
SBS3,0.210755524049622,-0.123805069943798,0.0641628180085886,0.230505,1,1
SBS45,0.212616887771659,0.0354095912992395,0.0657053304018242,0.238222,1,1
SBS18,0.214058630895054,0.217798292652807,0.0663414254632591,0.244304,1,1
SBS17a,0.214971533922937,0.471684544596734,0.0838475374324441,0.248206,1,1
SBS52,0.215015818651675,-0.187239878603861,0.0661970762140902,0.248436,1,1
SBS14,0.216031633007263,0.266675992909376,0.104581978589551,0.252802,1,1
SBS53,0.217232299633754,-0.168058586164051,0.0666985472382251,0.258052,1,1
SBS40a,0.217337484297653,0.116877642821693,0.0702361760150303,0.258483,1,1
SBS36,0.220281206625277,-0.0918070341638766,0.0657694844891422,0.271403,1,1
SBS46,0.227827399055338,0.308375518010288,0.0595515220341998,0.30532,1,1
SBS10c,0.227972323614772,0.478435994580923,0.0706509539786683,0.30602,1,1
SBS94,0.230136839621894,-0.231283727507916,0.0665334938958084,0.316129,1,1
SBS17b,0.236310371641084,0.66581974977629,0.113579634096883,0.345424,1,1
SBS84,0.237897824826894,0.234615920974443,0.0836935105875776,0.353107,1,1
SBS9,0.240268590328556,0.136823846554949,0.0740906144615012,0.364435,1,1
SBS49,0.247597845515943,-0.174116005784741,0.0719693189817867,0.399808,1,1
SBS29,0.252852648737561,0.123523128551602,0.0660684826111719,0.425518,1,1
SBS7a,0.261001268662234,0.108353453630747,0.079204763451921,0.465392,1,1
