Folder,Offset,SLP,R1p,R1p_err,RedChiSq
1142,-870,2500,14.28452008707967,0.2132453826214218,8.26957563361544
1143,-1305,2500,13.11828290544416,0.20323064566873084,5.717365580304118
1140,-10,2500,14.855234785835389,0.22883505221546646,6.837288754822488
1141,-435,2500,14.895833927435353,0.21563497616801242,7.494977736818401
1146,-2610,2500,9.149223361596665,0.16304503593861158,3.8696348776319756
1147,-3045,2500,8.021128270303763,0.1685267028381778,4.070509724763581
1144,-1740,2500,11.707592241547399,0.19162324517071935,5.85064735825805
1145,-2175,2500,10.359678870355982,0.18133021173952468,7.563327099689473
1148,-3480,2500,7.0393500031849285,0.15016406118438905,6.175434039590165
1149,-3915,2500,6.428299094998628,0.15081958031235507,4.080456901732648
1186,9570,2500,2.4636081926926874,0.14152479975434656,3.9659863546305605
1183,8265,2500,2.799256085743568,0.15736306084843238,4.344394030887849
1168,1740,2500,9.010479429984189,0.16779685958257873,6.653778592462314
1078,2610,1500,4.345614437893068,0.15895339311591075,1.7415564296998494
1079,2871,1500,4.042247842826864,0.12927405034935202,5.433125909180499
1076,2088,1500,5.472986042363699,0.1563180986733295,4.119543412859842
1029,1881,1200,4.880826454137049,0.15079703908392175,4.2464043210745634
1074,1566,1500,7.046863839666137,0.16819581825851948,2.490099020285202
1075,1827,1500,6.129587429040373,0.151566827040143,3.149681501877145
1072,1044,1500,9.653812098421561,0.18875512947202094,1.8203305908508594
1073,1305,1500,8.18516476012731,0.17102426395243575,0.8972753038841045
1070,522,1500,12.801826390080986,0.21139349711203176,0.5448445240344314
1071,783,1500,11.493924736794867,0.19109391742347018,0.7259872057067946
1159,-8265,2500,3.105451890701373,0.1487259055904051,5.280354945005421
939,1305,500,3.349995044982176,0.1451333471651494,6.3890145037508494
938,1218,500,3.5592641933382314,0.1355340842487746,2.3306529223974155
933,783,500,5.48760297069904,0.15063439535771134,11.138106737452633
932,696,500,6.1554948494511095,0.1450257875660857,6.818072338443334
931,609,500,6.766772473682187,0.15219319061236602,9.732180471382893
930,522,500,7.8427814432400895,0.15610157958276163,5.605254453357844
937,1131,500,3.8030197800974612,0.13349610532722958,2.754180812175459
936,1044,500,4.120614301286534,0.13706574523624634,6.404373923956946
935,957,500,4.452982757556051,0.1381657898475786,4.088238096152263
934,870,500,4.923841593733027,0.1420093835878426,6.528551682797761
995,3197,800,2.5198008730581503,0.13275028341027026,9.122450874510607
994,3058,800,2.5429615395970444,0.12826728950104374,6.246895967465776
997,-209,1200,15.919476458820004,0.2165618909598225,6.998651936566749
996,-10,1200,15.909519484771884,0.21732003945763254,9.027722984128095
991,2641,800,2.784302409736815,0.13774239870220892,2.592729998234082
990,2502,800,2.8879467736982725,0.14206538397282742,2.6415229500035946
993,2919,800,2.57734108937369,0.12959028486943508,5.950326093792508
992,2780,800,2.6673048696585426,0.14266579131631588,8.001136406095517
1155,-6525,2500,3.8414677386702065,0.13330132297218727,5.446718441078122
1154,-6090,2500,3.9540745894272686,0.14599711551158537,9.995232707954925
1157,-7395,2500,3.411313801715992,0.14016225898418733,6.58603025636996
1156,-6960,2500,3.5668448911743442,0.13074980721425844,6.739041189004229
999,-627,1200,13.682619768026015,0.20838186717666907,6.721799533378359
998,-418,1200,15.02093707357327,0.22123841236387184,1.2757117815323153
1153,-5655,2500,4.392945824591003,0.14886859051595355,2.9332022135251954
1152,-5220,2500,4.810975133986844,0.1475458478944333,5.091147328996478
1165,435,2500,14.475473400625033,0.2147920468316822,5.477457345050268
1014,-3762,1200,3.385534234093364,0.1348149220899477,4.336885311464127
1026,1254,1200,7.164261979275101,0.16492070604585954,7.130900232017933
1015,-3971,1200,3.3064993707792443,0.14441571058452204,5.464906676300809
