offset,slp,w1,w2,w3,w4,w5,w6,w7,w8,w9
1.000000000000000000e+04,4.999999999999999432e+02,-9.469300401501868691e+00,-9.469300401501868691e+00,-4.219479572168304003e+04,-4.219479572168304003e+04,-2.151986351533640118e+03,-2.151986351533640118e+03,-4.219109412127915857e+04,-1.825347908702021238e+00,-2.145567783575793783e+03
9.949874686716791985e+03,4.999999999999999432e+02,-9.469224410291417371e+00,-9.469224410291417371e+00,-4.219479569470368733e+04,-4.219479569470368733e+04,-2.151986112406910252e+03,-2.151986112406910252e+03,-4.219109422669320338e+04,-1.825509427486510017e+00,-2.145568200837489712e+03
9.899749373433583969e+03,4.999999999999999432e+02,-9.469147263999275310e+00,-9.469147263999275310e+00,-4.219479566724733741e+04,-4.219479566724733741e+04,-2.151985868548001235e+03,-2.151985868548001235e+03,-4.219109433342419652e+04,-1.825673573309855691e+00,-2.145568626883924480e+03
9.849624060150375954e+03,4.999999999999999432e+02,-9.469068939145017794e+00,-9.469068939145017794e+00,-4.219479563930266158e+04,-4.219479563930266158e+04,-2.151985619828445124e+03,-2.151985619828445124e+03,-4.219109444149496267e+04,-1.825840405209416151e+00,-2.145569061959546616e+03
9.799498746867167938e+03,4.999999999999999432e+02,-9.468989411621123509e+00,-9.468989411621123509e+00,-4.219479561085799651e+04,-4.219479561085799651e+04,-2.151985366115255601e+03,-2.151985366115255601e+03,-4.219109455092914141e+04,-1.826009983960929839e+00,-2.145569506317260220e+03
9.749373433583959923e+03,4.999999999999999432e+02,-9.468908656636699561e+00,-9.468908656636699561e+00,-4.219479558190162788e+04,-4.219479558190162788e+04,-2.151985107270853405e+03,-2.151985107270853405e+03,-4.219109466175074340e+04,-1.826182372117127306e+00,-2.145569960218773758e+03
9.699248120300751907e+03,4.999999999999999432e+02,-9.468826648873857721e+00,-9.468826648873857721e+00,-4.219479555242149945e+04,-4.219479555242149945e+04,-2.151984843152878966e+03,-2.151984843152878966e+03,-4.219109477398448507e+04,-1.826357634095703286e+00,-2.145570423934967039e+03
9.649122807017543892e+03,4.999999999999999432e+02,-9.468743362307009193e+00,-9.468743362307009193e+00,-4.219479552240478370e+04,-4.219479552240478370e+04,-2.151984573613874090e+03,-2.151984573613874090e+03,-4.219109488765567221e+04,-1.826535836231478749e+00,-2.145570897746279570e+03
9.598997493734335876e+03,4.999999999999999432e+02,-9.468658770191723306e+00,-9.468658770191723306e+00,-4.219479549183856579e+04,-4.219479549183856579e+04,-2.151984298501144622e+03,-2.151984298501144622e+03,-4.219109500279021449e+04,-1.826717046859950955e+00,-2.145571381943108008e+03
9.548872180451127861e+03,4.999999999999999432e+02,-9.468572845146809414e+00,-9.468572845146809414e+00,-4.219479546070961806e+04,-4.219479546070961806e+04,-2.151984017656495780e+03,-2.151984017656495780e+03,-4.219109511941478559e+04,-1.826901336404188170e+00,-2.145571876826239532e+03
9.498746867167919845e+03,4.999999999999999432e+02,-9.468485559028522403e+00,-9.468485559028522403e+00,-4.219479542900423257e+04,-4.219479542900423257e+04,-2.151983730916123932e+03,-2.151983730916123932e+03,-4.219109523755660484e+04,-1.827088777410166065e+00,-2.145572382707285669e+03
