offset,slp,r1p,r1p_err,r2eff,r2eff_err,prexp
-1.000000000000000000e+04,5.000000000000000000e+02,1.825348049580878040e+00,0.000000000000000000e+00,7.964567881932225646e+00,0.000000000000000000e+00,9.999997895148604599e-01
-9.949874686716791985e+03,5.000000000000000000e+02,1.825509571702767175e+00,0.000000000000000000e+00,7.967300355683732960e+00,0.000000000000000000e+00,9.999997845397293750e-01
-9.899749373433583969e+03,5.000000000000000000e+02,1.825673720962198709e+00,0.000000000000000000e+00,7.970088173452040792e+00,0.000000000000000000e+00,9.999997794162795994e-01
-9.849624060150375954e+03,5.000000000000000000e+02,1.825840556398393266e+00,0.000000000000000000e+00,7.972932836410222990e+00,0.000000000000000000e+00,9.999997741391153383e-01
-9.799498746867167938e+03,5.000000000000000000e+02,1.826010138792268478e+00,0.000000000000000000e+00,7.975835902954145240e+00,0.000000000000000000e+00,9.999997687030076632e-01
-9.749373433583959923e+03,5.000000000000000000e+02,1.826182530700923845e+00,0.000000000000000000e+00,7.978798979578755279e+00,0.000000000000000000e+00,9.999997631017857325e-01
-9.699248120300751907e+03,5.000000000000000000e+02,1.826357796546993484e+00,0.000000000000000000e+00,7.981823732179691433e+00,0.000000000000000000e+00,9.999997573294430175e-01
-9.649122807017543892e+03,5.000000000000000000e+02,1.826536002674084003e+00,0.000000000000000000e+00,7.984911883142444822e+00,0.000000000000000000e+00,9.999997513799460114e-01
-9.598997493734335876e+03,5.000000000000000000e+02,1.826717217420997352e+00,0.000000000000000000e+00,7.988065214653943258e+00,0.000000000000000000e+00,9.999997452465088088e-01
-9.548872180451127861e+03,5.000000000000000000e+02,1.826901511204410022e+00,0.000000000000000000e+00,7.991285573976142587e+00,0.000000000000000000e+00,9.999997389221811916e-01
-9.498746867167919845e+03,5.000000000000000000e+02,1.827088956587098911e+00,0.000000000000000000e+00,7.994574872196835713e+00,0.000000000000000000e+00,9.999997323999993970e-01
-9.448621553884711830e+03,5.000000000000000000e+02,1.827279628366419884e+00,0.000000000000000000e+00,7.997935089301677181e+00,0.000000000000000000e+00,9.999997256720764005e-01
-9.398496240601503814e+03,5.000000000000000000e+02,1.827473603659792722e+00,0.000000000000000000e+00,8.001368276829907700e+00,0.000000000000000000e+00,9.999997187308812263e-01
-9.348370927318295799e+03,5.000000000000000000e+02,1.827670961997163390e+00,0.000000000000000000e+00,8.004876561719243000e+00,0.000000000000000000e+00,9.999997115682096593e-01
-9.298245614035087783e+03,5.000000000000000000e+02,1.827871785409643568e+00,0.000000000000000000e+00,8.008462147452064528e+00,0.000000000000000000e+00,9.999997041754717930e-01
-9.248120300751879768e+03,5.000000000000000000e+02,1.828076158530875794e+00,0.000000000000000000e+00,8.012127318316629498e+00,0.000000000000000000e+00,9.999996965434544416e-01
-9.197994987468671752e+03,5.000000000000000000e+02,1.828284168707671187e+00,0.000000000000000000e+00,8.015874445320264385e+00,0.000000000000000000e+00,9.999996886631484783e-01
-9.147869674185463737e+03,5.000000000000000000e+02,1.828495906108955626e+00,0.000000000000000000e+00,8.019705989878843866e+00,0.000000000000000000e+00,9.999996805247397536e-01
-9.097744360902255721e+03,5.000000000000000000e+02,1.828711463818960103e+00,0.000000000000000000e+00,8.023624500698133488e+00,0.000000000000000000e+00,9.999996721177432102e-01
-9.047619047619047706e+03,5.000000000000000000e+02,1.828930937984937444e+00,0.000000000000000000e+00,8.027632627383809449e+00,0.000000000000000000e+00,9.999996634316857813e-01
-8.997493734335839690e+03,5.000000000000000000e+02,1.829154427928068927e+00,0.000000000000000000e+00,8.031733119764112416e+00,0.000000000000000000e+00,9.999996544552990363e-01
-8.947368421052631675e+03,5.000000000000000000e+02,1.829382036279023183e+00,0.000000000000000000e+00,8.035928833661500903e+00,0.000000000000000000e+00,9.999996451766416383e-01
-8.897243107769423659e+03,5.000000000000000000e+02,1.829613869113248636e+00,0.000000000000000000e+00,8.040222734628287071e+00,0.000000000000000000e+00,9.999996355831788364e-01
-8.847117794486215644e+03,5.000000000000000000e+02,1.829850036119629264e+00,0.000000000000000000e+00,8.044617910268357264e+00,0.000000000000000000e+00,9.999996256626935143e-01
-8.796992481203007628e+03,5.000000000000000000e+02,1.830090650711595490e+00,0.000000000000000000e+00,8.049117562148694560e+00,0.000000000000000000e+00,9.999996154013666150e-01
-8.746867167919799613e+03,5.000000000000000000e+02,1.830335830219814719e+00,0.000000000000000000e+00,8.053725021502941672e+00,0.000000000000000000e+00,9.999996047845036706e-01
-8.696741854636591597e+03,5.000000000000000000e+02,1.830585696067485335e+00,0.000000000000000000e+00,8.058443756732572183e+00,0.000000000000000000e+00,9.999995937980691307e-01
-8.646616541353383582e+03,5.000000000000000000e+02,1.830840373922438813e+00,0.000000000000000000e+00,8.063277371474669053e+00,0.000000000000000000e+00,9.999995824257043031e-01
-8.596491228070175566e+03,5.000000000000000000e+02,1.831099993913078317e+00,0.000000000000000000e+00,8.068229619681119402e+00,0.000000000000000000e+00,9.999995706515305560e-01
-8.546365914786967551e+03,5.000000000000000000e+02,1.831364690808860551e+00,0.000000000000000000e+00,8.073304407129853644e+00,0.000000000000000000e+00,9.999995584577773267e-01
-8.496240601503759535e+03,5.000000000000000000e+02,1.831634604242041275e+00,0.000000000000000000e+00,8.078505802537620184e+00,0.000000000000000000e+00,9.999995458267040283e-01
-8.446115288220551520e+03,5.000000000000000000e+02,1.831909878923869250e+00,0.000000000000000000e+00,8.083838043960327013e+00,0.000000000000000000e+00,9.999995327393845779e-01
-8.395989974937343504e+03,5.000000000000000000e+02,1.832190664877810571e+00,0.000000000000000000e+00,8.089305547101730554e+00,0.000000000000000000e+00,9.999995191755254309e-01
-8.345864661654135489e+03,5.000000000000000000e+02,1.832477117692854041e+00,0.000000000000000000e+00,8.094912916068153663e+00,0.000000000000000000e+00,9.999995051144312530e-01
-8.295739348370927473e+03,5.000000000000000000e+02,1.832769398783571591e+00,0.000000000000000000e+00,8.100664952522265594e+00,0.000000000000000000e+00,9.999994905338700502e-01
-8.245614035087719458e+03,5.000000000000000000e+02,1.833067675648608841e+00,0.000000000000000000e+00,8.106566660908924860e+00,0.000000000000000000e+00,9.999994754104387651e-01
-8.195488721804511442e+03,5.000000000000000000e+02,1.833372122197165277e+00,0.000000000000000000e+00,8.112623268661593556e+00,0.000000000000000000e+00,9.999994597196297796e-01
-8.145363408521303427e+03,5.000000000000000000e+02,1.833682919032091352e+00,0.000000000000000000e+00,8.118840230266698654e+00,0.000000000000000000e+00,9.999994434359188444e-01
-8.095238095238095411e+03,5.000000000000000000e+02,1.834000253781810530e+00,0.000000000000000000e+00,8.125223240578350214e+00,0.000000000000000000e+00,9.999994265317366793e-01
-8.045112781954887396e+03,5.000000000000000000e+02,1.834324321457311058e+00,0.000000000000000000e+00,8.131778250221032067e+00,0.000000000000000000e+00,9.999994089786461426e-01
-7.994987468671679380e+03,5.000000000000000000e+02,1.834655324812581423e+00,0.000000000000000000e+00,8.138511477105794256e+00,0.000000000000000000e+00,9.999993907464662657e-01
-7.944862155388471365e+03,5.000000000000000000e+02,1.834993474739264441e+00,0.000000000000000000e+00,8.145429421935432401e+00,0.000000000000000000e+00,9.999993718033913792e-01
-7.894736842105263349e+03,5.000000000000000000e+02,1.835338990674519222e+00,0.000000000000000000e+00,8.152538881828945705e+00,0.000000000000000000e+00,9.999993521154929565e-01
-7.844611528822055334e+03,5.000000000000000000e+02,1.835692101054559267e+00,0.000000000000000000e+00,8.159846969966451979e+00,0.000000000000000000e+00,9.999993316473645422e-01
-7.794486215538847318e+03,5.000000000000000000e+02,1.836053043779738880e+00,0.000000000000000000e+00,8.167361132096175425e+00,0.000000000000000000e+00,9.999993103618625145e-01
-7.744360902255639303e+03,5.000000000000000000e+02,1.836422066701369982e+00,0.000000000000000000e+00,8.175089162293829759e+00,0.000000000000000000e+00,9.999992882188555310e-01
-7.694235588972431287e+03,5.000000000000000000e+02,1.836799428163774950e+00,0.000000000000000000e+00,8.183039225671620898e+00,0.000000000000000000e+00,9.999992651766764773e-01
-7.644110275689223272e+03,5.000000000000000000e+02,1.837185397573563916e+00,0.000000000000000000e+00,8.191219880474477577e+00,0.000000000000000000e+00,9.999992411909965906e-01
-7.593984962406015256e+03,5.000000000000000000e+02,1.837580255990699518e+00,0.000000000000000000e+00,8.199640097951714779e+00,0.000000000000000000e+00,9.999992162150257435e-01
-7.543859649122807241e+03,5.000000000000000000e+02,1.837984296779334725e+00,0.000000000000000000e+00,8.208309288467944498e+00,0.000000000000000000e+00,9.999991901987380638e-01
-7.493734335839599225e+03,5.000000000000000000e+02,1.838397826289048576e+00,0.000000000000000000e+00,8.217237326209897219e+00,0.000000000000000000e+00,9.999991630899084383e-01
-7.443609022556391210e+03,5.000000000000000000e+02,1.838821164592814306e+00,0.000000000000000000e+00,8.226434577995007658e+00,0.000000000000000000e+00,9.999991348328605145e-01
-7.393483709273183194e+03,5.000000000000000000e+02,1.839254646267013849e+00,0.000000000000000000e+00,8.235911932055216766e+00,0.000000000000000000e+00,9.999991053682962816e-01
-7.343358395989975179e+03,5.000000000000000000e+02,1.839698621229286513e+00,0.000000000000000000e+00,8.245680829665104739e+00,0.000000000000000000e+00,9.999990746338756065e-01
-7.293233082706767163e+03,5.000000000000000000e+02,1.840153455635048729e+00,0.000000000000000000e+00,8.255753298931324480e+00,0.000000000000000000e+00,9.999990425628854096e-01
-7.243107769423559148e+03,5.000000000000000000e+02,1.840619532843823514e+00,0.000000000000000000e+00,8.266141992247924009e+00,0.000000000000000000e+00,9.999990090848815960e-01
-7.192982456140351132e+03,5.000000000000000000e+02,1.841097254439024944e+00,0.000000000000000000e+00,8.276860222983373205e+00,0.000000000000000000e+00,9.999989741247827801e-01
-7.142857142857143117e+03,5.000000000000000000e+02,1.841587041345811082e+00,0.000000000000000000e+00,8.287922009878627705e+00,0.000000000000000000e+00,9.999989376030767874e-01
-7.092731829573935102e+03,5.000000000000000000e+02,1.842089335007918605e+00,0.000000000000000000e+00,8.299342119724542499e+00,0.000000000000000000e+00,9.999988994349046090e-01
-7.042606516290727086e+03,5.000000000000000000e+02,1.842604598672886285e+00,0.000000000000000000e+00,8.311136117469231976e+00,0.000000000000000000e+00,9.999988595303117567e-01
-6.992481203007519071e+03,5.000000000000000000e+02,1.843133318751056127e+00,0.000000000000000000e+00,8.323320415316914023e+00,0.000000000000000000e+00,9.999988177929436395e-01
-6.942355889724311055e+03,5.000000000000000000e+02,1.843676006316039118e+00,0.000000000000000000e+00,8.335912333030933041e+00,0.000000000000000000e+00,9.999987741209862557e-01
-6.892230576441103040e+03,5.000000000000000000e+02,1.844233198670907070e+00,0.000000000000000000e+00,8.348930152803916371e+00,0.000000000000000000e+00,9.999987284051109482e-01
-6.842105263157895024e+03,5.000000000000000000e+02,1.844805461088407927e+00,0.000000000000000000e+00,8.362393188446787917e+00,0.000000000000000000e+00,9.999986805294224235e-01
-6.791979949874687009e+03,5.000000000000000000e+02,1.845393388651335842e+00,0.000000000000000000e+00,8.376321852524768019e+00,0.000000000000000000e+00,9.999986303696376533e-01
-6.741854636591478993e+03,5.000000000000000000e+02,1.845997608259485334e+00,0.000000000000000000e+00,8.390737732415971095e+00,0.000000000000000000e+00,9.999985777935042064e-01
-6.691729323308270978e+03,5.000000000000000000e+02,1.846618780800822313e+00,0.000000000000000000e+00,8.405663672503294492e+00,0.000000000000000000e+00,9.999985226594756416e-01
-6.641604010025062962e+03,5.000000000000000000e+02,1.847257603496635925e+00,0.000000000000000000e+00,8.421123862003184968e+00,0.000000000000000000e+00,9.999984648164692569e-01
-6.591478696741854947e+03,5.000000000000000000e+02,1.847914812445387911e+00,0.000000000000000000e+00,8.437143930440925033e+00,0.000000000000000000e+00,9.999984041027788484e-01
-6.541353383458646931e+03,5.000000000000000000e+02,1.848591185372514989e+00,0.000000000000000000e+00,8.453751049345896718e+00,0.000000000000000000e+00,9.999983403447416652e-01
-6.491228070175438916e+03,5.000000000000000000e+02,1.849287544635344727e+00,0.000000000000000000e+00,8.470974045809384734e+00,0.000000000000000000e+00,9.999982733573027360e-01
-6.441102756892230900e+03,5.000000000000000000e+02,1.850004760481099630e+00,0.000000000000000000e+00,8.488843524097319460e+00,0.000000000000000000e+00,9.999982029413155837e-01
-6.390977443609022885e+03,5.000000000000000000e+02,1.850743754582257150e+00,0.000000000000000000e+00,8.507391996016053781e+00,0.000000000000000000e+00,9.999981288835607662e-01
-6.340852130325814869e+03,5.000000000000000000e+02,1.851505503905869876e+00,0.000000000000000000e+00,8.526654025613197518e+00,0.000000000000000000e+00,9.999980509552446328e-01
-6.290726817042606854e+03,5.000000000000000000e+02,1.852291044914107232e+00,0.000000000000000000e+00,8.546666383344586393e+00,0.000000000000000000e+00,9.999979689101862190e-01
-6.240601503759398838e+03,5.000000000000000000e+02,1.853101478168631244e+00,0.000000000000000000e+00,8.567468216903364464e+00,0.000000000000000000e+00,9.999978824842344904e-01
-6.190476190476190823e+03,5.000000000000000000e+02,1.853937973357316693e+00,0.000000000000000000e+00,8.589101236292947306e+00,0.000000000000000000e+00,9.999977913928252971e-01
-6.140350877192982807e+03,5.000000000000000000e+02,1.854801774784112567e+00,0.000000000000000000e+00,8.611609913970085017e+00,0.000000000000000000e+00,9.999976953294481552e-01
-6.090225563909774792e+03,5.000000000000000000e+02,1.855694207409005037e+00,0.000000000000000000e+00,8.635041707221944307e+00,0.000000000000000000e+00,9.999975939648440004e-01
-6.040100250626566776e+03,5.000000000000000000e+02,1.856616683446121963e+00,0.000000000000000000e+00,8.659447296907558211e+00,0.000000000000000000e+00,9.999974869427759039e-01
-5.989974937343358761e+03,5.000000000000000000e+02,1.857570709634977391e+00,0.000000000000000000e+00,8.684880852308822341e+00,0.000000000000000000e+00,9.999973738795455702e-01
-5.939849624060150745e+03,5.000000000000000000e+02,1.858557895218220013e+00,0.000000000000000000e+00,8.711400318349234340e+00,0.000000000000000000e+00,9.999972543604851438e-01
-5.889724310776941820e+03,5.000000000000000000e+02,1.859579960742737459e+00,0.000000000000000000e+00,8.739067732848837977e+00,0.000000000000000000e+00,9.999971279374322286e-01
-5.839598997493733805e+03,5.000000000000000000e+02,1.860638747760113842e+00,0.000000000000000000e+00,8.767949574071025154e+00,0.000000000000000000e+00,9.999969941258481931e-01
-5.789473684210525789e+03,5.000000000000000000e+02,1.861736229528592412e+00,0.000000000000000000e+00,8.798117141395294993e+00,0.000000000000000000e+00,9.999968524006981330e-01
-5.739348370927317774e+03,5.000000000000000000e+02,1.862874522858291915e+00,0.000000000000000000e+00,8.829646975824488209e+00,0.000000000000000000e+00,9.999967021927448352e-01
-5.689223057644109758e+03,5.000000000000000000e+02,1.864055901220759592e+00,0.000000000000000000e+00,8.862621322303596116e+00,0.000000000000000000e+00,9.999965428855456251e-01
-5.639097744360901743e+03,5.000000000000000000e+02,1.865282809287809762e+00,0.000000000000000000e+00,8.897128639892798674e+00,0.000000000000000000e+00,9.999963738087820353e-01
-5.588972431077693727e+03,5.000000000000000000e+02,1.866557879072147985e+00,0.000000000000000000e+00,8.933264164532261020e+00,0.000000000000000000e+00,9.999961942346015098e-01
-5.538847117794485712e+03,5.000000000000000000e+02,1.867883947888124840e+00,0.000000000000000000e+00,8.971130532529883794e+00,0.000000000000000000e+00,9.999960033713120033e-01
-5.488721804511277696e+03,5.000000000000000000e+02,1.869264078343730873e+00,0.000000000000000000e+00,9.010838469066555945e+00,0.000000000000000000e+00,9.999958003568113485e-01
-5.438596491228069681e+03,5.000000000000000000e+02,1.870701580639575701e+00,0.000000000000000000e+00,9.052507551046716117e+00,0.000000000000000000e+00,9.999955842514619553e-01
-5.388471177944861665e+03,5.000000000000000000e+02,1.872200037500087122e+00,0.000000000000000000e+00,9.096267055776422694e+00,0.000000000000000000e+00,9.999953540306631972e-01
-5.338345864661653650e+03,5.000000000000000000e+02,1.873763332049633190e+00,0.000000000000000000e+00,9.142256901210174647e+00,0.000000000000000000e+00,9.999951085753842062e-01
-5.288220551378445634e+03,5.000000000000000000e+02,1.875395679081783840e+00,0.000000000000000000e+00,9.190628694954995126e+00,0.000000000000000000e+00,9.999948466624214438e-01
-5.238095238095237619e+03,5.000000000000000000e+02,1.877101660134960381e+00,0.000000000000000000e+00,9.241546899436741569e+00,0.000000000000000000e+00,9.999945669532538384e-01
-5.187969924812029603e+03,5.000000000000000000e+02,1.878886262965155041e+00,0.000000000000000000e+00,9.295190134910512825e+00,0.000000000000000000e+00,9.999942679821338665e-01
-5.137844611528821588e+03,5.000000000000000000e+02,1.880754925993007198e+00,0.000000000000000000e+00,9.351752632932402776e+00,0.000000000000000000e+00,9.999939481414912290e-01
-5.087719298245613572e+03,5.000000000000000000e+02,1.882713588475681599e+00,0.000000000000000000e+00,9.411445864012563334e+00,0.000000000000000000e+00,9.999936056669223028e-01
-5.037593984962405557e+03,5.000000000000000000e+02,1.884768747209574213e+00,0.000000000000000000e+00,9.474500359483414513e+00,0.000000000000000000e+00,9.999932386198903123e-01
-4.987468671679197541e+03,5.000000000000000000e+02,1.886927520736413344e+00,0.000000000000000000e+00,9.541167754611080909e+00,0.000000000000000000e+00,9.999928448678403470e-01
-4.937343358395989526e+03,5.000000000000000000e+02,1.889197722213134645e+00,0.000000000000000000e+00,9.611723086675766581e+00,0.000000000000000000e+00,9.999924220624851756e-01
-4.887218045112781510e+03,5.000000000000000000e+02,1.891587942203101003e+00,0.000000000000000000e+00,9.686467377063195272e+00,0.000000000000000000e+00,9.999919676151695080e-01
-4.837092731829573495e+03,5.000000000000000000e+02,1.894107642956817106e+00,0.000000000000000000e+00,9.765730541050345437e+00,0.000000000000000000e+00,9.999914786689499957e-01
-4.786967418546365479e+03,5.000000000000000000e+02,1.896767265967356231e+00,0.000000000000000000e+00,9.849874670456301828e+00,0.000000000000000000e+00,9.999909520682640496e-01
-4.736842105263157464e+03,5.000000000000000000e+02,1.899578354898849852e+00,0.000000000000000000e+00,9.939297741942453968e+00,0.000000000000000000e+00,9.999903843231875422e-01
-4.686716791979949448e+03,5.000000000000000000e+02,1.902553696321048982e+00,0.000000000000000000e+00,1.003443780923683448e+01,0.000000000000000000e+00,9.999897715699381795e-01
-4.636591478696741433e+03,5.000000000000000000e+02,1.905707481179838458e+00,0.000000000000000000e+00,1.013577775304989359e+01,0.000000000000000000e+00,9.999891095276403075e-01
-4.586466165413533417e+03,5.000000000000000000e+02,1.909055490376611930e+00,0.000000000000000000e+00,1.024385066684502021e+01,0.000000000000000000e+00,9.999883934479405490e-01
-4.536340852130325402e+03,5.000000000000000000e+02,1.912615308420559712e+00,0.000000000000000000e+00,1.035924596819270960e+01,0.000000000000000000e+00,9.999876180588742614e-01
-4.486215538847117386e+03,5.000000000000000000e+02,1.916406569910920510e+00,0.000000000000000000e+00,1.048261634627112926e+01,0.000000000000000000e+00,9.999867775033478567e-01
-4.436090225563909371e+03,5.000000000000000000e+02,1.920451244324153706e+00,0.000000000000000000e+00,1.061468566102107047e+01,0.000000000000000000e+00,9.999858652679827209e-01
-4.385964912280701355e+03,5.000000000000000000e+02,1.924773965683186594e+00,0.000000000000000000e+00,1.075625793638084815e+01,0.000000000000000000e+00,9.999848741057898449e-01
-4.335839598997493340e+03,5.000000000000000000e+02,1.929402414722070525e+00,0.000000000000000000e+00,1.090822759852576951e+01,0.000000000000000000e+00,9.999837959493438344e-01
-4.285714285714285325e+03,5.000000000000000000e+02,1.934367762651874489e+00,0.000000000000000000e+00,1.107159114115691523e+01,0.000000000000000000e+00,9.999826218134209022e-01
-4.235588972431077309e+03,5.000000000000000000e+02,1.939705187061212088e+00,0.000000000000000000e+00,1.124746040883815112e+01,0.000000000000000000e+00,9.999813416905923846e-01
-4.185463659147869294e+03,5.000000000000000000e+02,1.945454472460002693e+00,0.000000000000000000e+00,1.143707772215569207e+01,0.000000000000000000e+00,9.999799444353697497e-01
-4.135338345864661278e+03,5.000000000000000000e+02,1.951660709869890376e+00,0.000000000000000000e+00,1.164183307363083486e+01,0.000000000000000000e+00,9.999784176389724388e-01
-4.085213032581453263e+03,5.000000000000000000e+02,1.958375112412984231e+00,0.000000000000000000e+00,1.186328365369244864e+01,0.000000000000000000e+00,9.999767474986139826e-01
-4.035087719298245247e+03,5.000000000000000000e+02,1.965655966155161805e+00,0.000000000000000000e+00,1.210317595336113072e+01,0.000000000000000000e+00,9.999749186790940492e-01
-3.984962406015037232e+03,5.000000000000000000e+02,1.973569738362201065e+00,0.000000000000000000e+00,1.236347069510193819e+01,0.000000000000000000e+00,9.999729141753362915e-01
-3.934837092731829216e+03,5.000000000000000000e+02,1.982192367873791161e+00,0.000000000000000000e+00,1.264637079821298471e+01,0.000000000000000000e+00,9.999707151819088313e-01
-3.884711779448621201e+03,5.000000000000000000e+02,1.991610764644288434e+00,0.000000000000000000e+00,1.295435250767113189e+01,0.000000000000000000e+00,9.999683009765425457e-01
-3.834586466165413185e+03,5.000000000000000000e+02,2.001924547119437570e+00,0.000000000000000000e+00,1.329019967986084794e+01,0.000000000000000000e+00,9.999656488398378507e-01
-3.784461152882205170e+03,5.000000000000000000e+02,2.013248045922911178e+00,0.000000000000000000e+00,1.365704097458112187e+01,0.000000000000000000e+00,9.999627340291015187e-01
-3.734335839598997154e+03,5.000000000000000000e+02,2.025712599319730689e+00,0.000000000000000000e+00,1.405838932244917316e+01,0.000000000000000000e+00,9.999595298399759358e-01
-3.684210526315789139e+03,5.000000000000000000e+02,2.039469157910501096e+00,0.000000000000000000e+00,1.449818244058592143e+01,0.000000000000000000e+00,9.999560078031158872e-01
-3.634085213032581123e+03,5.000000000000000000e+02,2.054691199823616810e+00,0.000000000000000000e+00,1.498082225752180818e+01,0.000000000000000000e+00,9.999521380761385858e-01
-3.583959899749373108e+03,5.000000000000000000e+02,2.071577928798483459e+00,0.000000000000000000e+00,1.551120975523218704e+01,0.000000000000000000e+00,9.999478901228269212e-01
-3.533834586466165092e+03,5.000000000000000000e+02,2.090357678534565444e+00,0.000000000000000000e+00,1.609476972857368082e+01,0.000000000000000000e+00,9.999432337758096256e-01
-3.483709273182957077e+03,5.000000000000000000e+02,2.111291368432579585e+00,0.000000000000000000e+00,1.673745710730572966e+01,0.000000000000000000e+00,9.999381408499580237e-01
-3.433583959899749061e+03,5.000000000000000000e+02,2.134675732548061422e+00,0.000000000000000000e+00,1.744573238217857636e+01,0.000000000000000000e+00,9.999325874484223942e-01
-3.383458646616541046e+03,5.000000000000000000e+02,2.160845858746155201e+00,0.000000000000000000e+00,1.822648809880415399e+01,0.000000000000000000e+00,9.999265572126078139e-01
-3.333333333333333030e+03,5.000000000000000000e+02,2.190176301202750420e+00,0.000000000000000000e+00,1.908690079910276438e+01,0.000000000000000000e+00,9.999200456687076244e-01
-3.283208020050125015e+03,5.000000000000000000e+02,2.223079643264857630e+00,0.000000000000000000e+00,2.003417318681853487e+01,0.000000000000000000e+00,9.999130658737899191e-01
-3.233082706766916999e+03,5.000000000000000000e+02,2.260000861733144628e+00,0.000000000000000000e+00,2.107511971174353960e+01,0.000000000000000000e+00,9.999056553730578667e-01
