offset,slp,w1,w2,w3,w4,w5,w6,w7,w8,w9
1.000000000000000000e+04,4.999999999999999432e+02,-1.622472421503334772e+01,-1.622472421503334772e+01,-2.152030793061945587e+03,-2.152030793061945587e+03,-4.218374200431675126e+04,-4.218374200431675126e+04,-4.219116318623725965e+04,-1.930239017408235558e+00,-2.145651531557713952e+03
9.949874686716791985e+03,4.999999999999999432e+02,-1.622449402719030331e+01,-1.622449402719030331e+01,-2.152030587198894864e+03,-2.152030587198894864e+03,-4.218374229937579366e+04,-4.218374229937579366e+04,-4.219116268525985652e+04,-1.930685544970031975e+00,-2.145651867991414747e+03
9.899749373433583969e+03,4.999999999999999432e+02,-1.622426044398343947e+01,-1.622426044398343947e+01,-2.152030377895593119e+03,-2.152030377895593119e+03,-4.218374260413221782e+04,-4.218374260413221782e+04,-4.219116216362578416e+04,-1.931140317561856223e+00,-2.145652211113003887e+03
9.849624060150375954e+03,4.999999999999999432e+02,-1.622402339975815266e+01,-1.622402339975815266e+01,-2.152030165075595505e+03,-2.152030165075595505e+03,-4.218374291903406265e+04,-4.218374291903406265e+04,-4.219116162039387564e+04,-1.931603504420441375e+00,-2.145652561082931697e+03
9.799498746867167938e+03,4.999999999999999432e+02,-1.622378282725549070e+01,-1.622378282725549070e+01,-2.152029948660327136e+03,-2.152029948660327136e+03,-4.218374324455369788e+04,-4.218374324455369788e+04,-4.219116105457297817e+04,-1.932075278372684446e+00,-2.145652918066054099e+03
9.749373433583959923e+03,4.999999999999999432e+02,-1.622353865759032487e+01,-1.622353865759032487e+01,-2.152029728569048530e+03,-2.152029728569048530e+03,-4.218374358118987584e+04,-4.218374358118987584e+04,-4.219116046511913737e+04,-1.932555816014917882e+00,-2.145653282231798130e+03
9.699248120300751907e+03,4.999999999999999432e+02,-1.622329082016949542e+01,-1.622329082016949542e+01,-2.152029504718626413e+03,-2.152029504718626413e+03,-4.218374392946889566e+04,-4.218374392946889566e+04,-4.219115985093240306e+04,-1.933045297751785130e+00,-2.145653653754282004e+03
9.649122807017543892e+03,4.999999999999999432e+02,-1.622303924276457110e+01,-1.622303924276457110e+01,-2.152029277023697432e+03,-2.152029277023697432e+03,-4.218374428994694608e+04,-4.218374428994694608e+04,-4.219115921085300943e+04,-1.933543907852114829e+00,-2.145654032812488367e+03
9.598997493734335876e+03,4.999999999999999432e+02,-1.622278385128447553e+01,-1.622278385128447553e+01,-2.152029045396304355e+03,-2.152029045396304355e+03,-4.218374466321113141e+04,-4.218374466321113141e+04,-4.219115854365764972e+04,-1.934051834621770771e+00,-2.145654419590400721e+03
9.548872180451127861e+03,4.999999999999999432e+02,-1.622252456984642777e+01,-1.622252456984642777e+01,-2.152028809746012485e+03,-2.152028809746012485e+03,-4.218374504988238914e+04,-4.218374504988238914e+04,-4.219115784805578733e+04,-1.934569270437386246e+00,-2.145654814277173500e+03
9.498746867167919845e+03,4.999999999999999432e+02,-1.622226132064315607e+01,-1.622226132064315607e+01,-2.152028569979807799e+03,-2.152028569979807799e+03,-4.218374545061744720e+04,-4.218374545061744720e+04,-4.219115712268498464e+04,-1.935096411837375019e+00,-2.145655217067306694e+03
9.448621553884711830e+03,4.999999999999999432e+02,-1.622199402400838153e+01,-1.622199402400838153e+01,-2.152028326001897767e+03,-2.152028326001897767e+03,-4.218374586611069390e+04,-4.218374586611069390e+04,-4.219115636610631918e+04,-1.935633459645634602e+00,-2.145655628160812284e+03
9.398496240601503814e+03,4.999999999999999432e+02,-1.622172259824219509e+01,-1.622172259824219509e+01,-2.152028077713711355e+03,-2.152028077713711355e+03,-4.218374629709712462e+04,-4.218374629709712462e+04,-4.219115557679938502e+04,-1.936180619113632817e+00,-2.145656047763396145e+03
9.348370927318295799e+03,4.999999999999999432e+02,-1.622144695952738402e+01,-1.622144695952738402e+01,-2.152027825013703477e+03,-2.152027825013703477e+03,-4.218374674435505585e+04,-4.218374674435505585e+04,-4.219115475315688673e+04,-1.936738099910856548e+00,-2.145656476086650400e+03
9.298245614035087783e+03,4.999999999999999432e+02,-1.622116702203129535e+01,-1.622116702203129535e+01,-2.152027567797304073e+03,-2.152027567797304073e+03,-4.218374720870894089e+04,-4.218374720870894089e+04,-4.219115389347881865e+04,-1.937306116336532158e+00,-2.145656913348254420e+03
9.248120300751879768e+03,4.999999999999999432e+02,-1.622088269759115065e+01,-1.622088269759115065e+01,-2.152027305956946293e+03,-2.152027305956946293e+03,-4.218374769103250583e+04,-4.218374769103250583e+04,-4.219115299596636032e+04,-1.937884887402036016e+00,-2.145657359772163090e+03
9.197994987468671752e+03,4.999999999999999432e+02,-1.622059389599417045e+01,-1.622059389599417045e+01,-2.152027039381612667e+03,-2.152027039381612667e+03,-4.218374819225208194e+04,-4.218374819225208194e+04,-4.219115205871481157e+04,-1.938474636909814697e+00,-2.145657815588842823e+03
9.147869674185463737e+03,4.999999999999999432e+02,-1.622030052454829274e+01,-1.622030052454829274e+01,-2.152026767957064294e+03,-2.152026767957064294e+03,-4.218374871335037460e+04,-4.218374871335037460e+04,-4.219115107970672398e+04,-1.939075593673415643e+00,-2.145658281035474374e+03
9.097744360902255721e+03,4.999999999999999432e+02,-1.622000248814038059e+01,-1.622000248814038059e+01,-2.152026491565509787e+03,-2.152026491565509787e+03,-4.218374925537061063e+04,-4.218374925537061063e+04,-4.219115005680381728e+04,-1.939687991483534102e+00,-2.145658756356195681e+03
9.047619047619047706e+03,4.999999999999999432e+02,-1.621969968936173245e+01,-1.621969968936173245e+01,-2.152026210085503408e+03,-2.152026210085503408e+03,-4.218374981942003069e+04,-4.218374981942003069e+04,-4.219114898773843743e+04,-1.940312069391626260e+00,-2.145659241802339693e+03
8.997493734335839690e+03,4.999999999999999432e+02,-1.621939202805333480e+01,-1.621939202805333480e+01,-2.152025923391933247e+03,-2.152025923391933247e+03,-4.218375040667552094e+04,-4.218375040667552094e+04,-4.219114787010446889e+04,-1.940948071765876248e+00,-2.145659737632680844e+03
8.947368421052631675e+03,4.999999999999999432e+02,-1.621907940152414085e+01,-1.621907940152414085e+01,-2.152025631355707446e+03,-2.152025631355707446e+03,-4.218375101838790579e+04,-4.218375101838790579e+04,-4.219114670134778862e+04,-1.941596248423885784e+00,-2.145660244113705630e+03
8.897243107769423659e+03,4.999999999999999432e+02,-1.621876170440737042e+01,-1.621876170440737042e+01,-2.152025333843689168e+03,-2.152025333843689168e+03,-4.218375165588730306e+04,-4.218375165588730306e+04,-4.219114547875460266e+04,-1.942256854800970878e+00,-2.145660761519881362e+03
8.847117794486215644e+03,4.999999999999999432e+02,-1.621843882847679197e+01,-1.621843882847679197e+01,-2.152025030718527887e+03,-2.152025030718527887e+03,-4.218375232058954134e+04,-4.218375232058954134e+04,-4.219114419944088149e+04,-1.942930152086522533e+00,-2.145661290133942202e+03
8.796992481203007628e+03,4.999999999999999432e+02,-1.621811066259033396e+01,-1.621811066259033396e+01,-2.152024721838566165e+03,-2.152024721838566165e+03,-4.218375301400209719e+04,-4.218375301400209719e+04,-4.219114286033891403e+04,-1.943616407419980430e+00,-2.145661830247190210e+03
8.746867167919799613e+03,4.999999999999999432e+02,-1.621777709270281775e+01,-1.621777709270281775e+01,-2.152024407057502685e+03,-2.152024407057502685e+03,-4.218375373773082538e+04,-4.218375373773082538e+04,-4.219114145818401448e+04,-1.944315893960244512e+00,-2.145662382159801837e+03
8.696741854636591597e+03,4.999999999999999432e+02,-1.621743800159856619e+01,-1.621743800159856619e+01,-2.152024086224414532e+03,-2.152024086224414532e+03,-4.218375449348803522e+04,-4.218375449348803522e+04,-4.219113998949955567e+04,-1.945028891160850426e+00,-2.145662946181163989e+03
8.646616541353383582e+03,4.999999999999999432e+02,-1.621709326892596437e+01,-1.621709326892596437e+01,-2.152023759183339280e+03,-2.152023759183339280e+03,-4.218375528309994843e+04,-4.218375528309994843e+04,-4.219113845058048901e+04,-1.945755684843861744e+00,-2.145663522630199623e+03
8.596491228070175566e+03,4.999999999999999432e+02,-1.621674277107376838e+01,-1.621674277107376838e+01,-2.152023425773395502e+03,-2.152023425773395502e+03,-4.218375610851575038e+04,-4.218375610851575038e+04,-4.219113683747622417e+04,-1.946496567468287697e+00,-2.145664111835744734e+03
8.546365914786967551e+03,4.999999999999999432e+02,-1.621638638089461892e+01,-1.621638638089461892e+01,-2.152023085828234798e+03,-2.152023085828234798e+03,-4.218375697181784926e+04,-4.218375697181784926e+04,-4.219113514597093308e+04,-1.947251838267435309e+00,-2.145664714136900784e+03
8.496240601503759535e+03,4.999999999999999432e+02,-1.621602396790331113e+01,-1.621602396790331113e+01,-2.152022739176086361e+03,-2.152022739176086361e+03,-4.218375787523121107e+04,-4.218375787523121107e+04,-4.219113337156267517e+04,-1.948021803448707567e+00,-2.145665329883435334e+03
8.446115288220551520e+03,4.999999999999999432e+02,-1.621565539788389287e+01,-1.621565539788389287e+01,-2.152022385639338609e+03,-2.152022385639338609e+03,-4.218375882113605621e+04,-4.218375882113605621e+04,-4.219113150944082736e+04,-1.948806776400108465e+00,-2.145665959436200865e+03
8.395989974937343504e+03,4.999999999999999432e+02,-1.621528053285328497e+01,-1.621528053285328497e+01,-2.152022025034488252e+03,-2.152022025034488252e+03,-4.218375981207958830e+04,-4.218375981207958830e+04,-4.219112955446056731e+04,-1.949607077980261671e+00,-2.145666603167544054e+03
8.345864661654135489e+03,4.999999999999999432e+02,-1.621489923101762543e+01,-1.621489923101762543e+01,-2.152021657171761035e+03,-2.152021657171761035e+03,-4.218376085079010227e+04,-4.218376085079010227e+04,-4.219112750111592322e+04,-1.950423036592640269e+00,-2.145667261461775524e+03
8.295739348370927473e+03,4.999999999999999432e+02,-1.621451134646576975e+01,-1.621451134646576975e+01,-2.152021281854864355e+03,-2.152021281854864355e+03,-4.218376194019187824e+04,-4.218376194019187824e+04,-4.219112534350948408e+04,-1.951254988526324841e+00,-2.145667934715626416e+03
8.245614035087719458e+03,4.999999999999999432e+02,-1.621411672925751191e+01,-1.621411672925751191e+01,-2.152020898880813547e+03,-2.152020898880813547e+03,-4.218376308342153789e+04,-4.218376308342153789e+04,-4.219112307531982515e+04,-1.952103278244187168e+00,-2.145668623338753150e+03
8.195488721804511442e+03,4.999999999999999432e+02,-1.621371522501613072e+01,-1.621371522501613072e+01,-2.152020508039500783e+03,-2.152020508039500783e+03,-4.218376428384651081e+04,-4.218376428384651081e+04,-4.219112068976520823e+04,-1.952968258521185385e+00,-2.145669327754254482e+03
8.145363408521303427e+03,4.999999999999999432e+02,-1.621330667500842537e+01,-1.621330667500842537e+01,-2.152020109113533181e+03,-2.152020109113533181e+03,-4.218376554508447589e+04,-4.218376554508447589e+04,-4.219111817956399318e+04,-1.953850290746944385e+00,-2.145670048399222196e+03
8.095238095238095411e+03,4.999999999999999432e+02,-1.621289091586231734e+01,-1.621289091586231734e+01,-2.152019701877814441e+03,-2.152019701877814441e+03,-4.218376687102545111e+04,-4.218376687102545111e+04,-4.219111553689111315e+04,-1.954749745304240394e+00,-2.145670785725307269e+03
8.045112781954887396e+03,4.999999999999999432e+02,-1.621246777945634676e+01,-1.621246777945634676e+01,-2.152019286099259261e+03,-2.152019286099259261e+03,-4.218376826585558592e+04,-4.218376826585558592e+04,-4.219111275333027879e+04,-1.955667001739065824e+00,-2.145671540199328319e+03
7.994987468671679380e+03,4.999999999999999432e+02,-1.621203709267456361e+01,-1.621203709267456361e+01,-2.152018861536442273e+03,-2.152018861536442273e+03,-4.218376973408416234e+04,-4.218376973408416234e+04,-4.219110981982040539e+04,-1.956602449130658838e+00,-2.145672312303913259e+03
7.944862155388471365e+03,4.999999999999999432e+02,-1.621159867732740167e+01,-1.621159867732740167e+01,-2.152018427939268804e+03,-2.152018427939268804e+03,-4.218377128057216760e+04,-4.218377128057216760e+04,-4.219110672659787087e+04,-1.957556486436168308e+00,-2.145673102538150943e+03
